stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,visceral_smooth_muscle
  3-4,105.42,1620.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0
  5-6,55.17,484.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,5.26,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,1,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,1.64,3.28,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0.81,16.11,0,0,0,0,1.61,0,0,2.42,0
 48-58,0,0,0,0,0,4.59,0,0,1.15,0.57,0,0,0,0,1.15,0,0.57,20.08,0,0,0.57,0,0,0,0,4.02,0
 60-70,0,0,0,0,0,8.83,0,0,0.98,0,0,0,0,0,0,0,0.98,20.61,0,1.96,0,0,0,0,0,2.94,0
 72-82,0,0,0.98,0.98,0,9.82,0,0,0,0,0.98,0.98,0,0,0,0,0,22.58,0,0,0,0,0.98,0,0,5.89,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,3.19,0,1.06,0,0,0,0,14.87,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,3.28,0,0,0,1.09,0,0,0,2.19,0,0,0,1.09,0,0,8.74,0,0,0,0,2.19,0,0,0,0
108-118,0,0,0.77,0,0.77,2.3,0,0,0,0.77,0,0,0,2.3,0.77,0.77,0,7.66,0,1.53,0,0,2.3,0,0,0,0.77
120,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,1.96,0,5.88,0,0,0,0,13.72,0,0,0,0
