stage,erythrocytes,eye,fin_epithelia,glial,gut,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,1,0,0,0,1,1,0,1,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0.82
 36-46,0,1.61,0,0.81,0,0.81,0.81,0.81,0,0,0,0.81
 48-58,0,0,0,0,0,1.15,0,2.3,0,0,1.15,1.15
 60-70,0,2.94,0,0,0,0,0.98,1.96,0,0,0.98,0
 72-82,0,1.96,0,1.96,0,3.93,0,3.93,0,0,0,0.98
 84-94,0,4.25,0,0,0,4.25,0,3.19,0,0,0,0
 96-106,0,1.09,1.09,0,0,0,0,2.19,0,1.09,0,0
108-118,0,0.77,0,0,0,1.53,0,3.06,0,0,0,0.77
120,0,1.96,0,0,0,0,0,1.96,0,0,1.96,1.96
