stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,144.96,1054.23,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,55.17,1072.69,0,0,0,0,0,0,0,0,0,42.91,0,0,30.65,18.39,0,0,0,0,0,0
  7-9,10.51,26.29,28.92,0,0,99.89,0,21.03,0,0,0,654.55,18.4,0,226.07,2.63,5.26,0,0,0,0,0
 10-12,0,31.47,34.62,0,0,34.62,0,31.47,0,0,0,531.84,22.03,0,188.82,0,0,3.15,28.32,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,2.42,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0,0
