stage,blastomeres,endoderm,epidermis,eye,glial,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,1,1,4,0,0,0,0,5,2,0,25,1,0,1,3,31,0,2
 24-34,0,0,0,2.46,1.64,0,0.82,0,9.85,1.64,0,29.55,0,0,0,0.82,3.28,0.82,3.28
 36-46,0,0,0,0,0,0,0.81,0.81,2.42,0.81,0.81,8.86,0,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,1.15,4.02,0,0.57,1.72,0,5.74,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,3.93,1.96,0,0,0.98,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,14.21,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,1.53,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
