stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,276.74,5152.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0,0
  5-6,570.06,5302.13,0,18.39,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,196.15,12.26,0,0,12.26,0,128.72,0,0,0,0,0,0,0,0,0,0,0
  7-9,57.83,134.06,0,226.07,0,5.26,394.31,0,0,0,0,191.9,0,0,0,0,0,0,0,0,0,0,0,3869.47,92,0,0,1561.46,0,5.26,42.06,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,81.82,0,129.03,0,22.03,261.2,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,2338.2,40.91,0,0,1054.23,0,9.44,31.47,9.44,78.67,0,6.29,3.15,0,0,0,0,0
 14-21,1,0,1,15,274,57,84,0,0,23,8,25,7,0,7,0,2,1,3,103,1,0,69,853,77,6,13,15,0,111,0,110,9,20,148,253,0,0,8,0,1
 24-34,0,0,0,1.64,28.73,10.67,261.03,0.82,0.82,22.98,0,0,3.28,3.28,0.82,1.64,2.46,0.82,0,128.87,0,0,36.94,1480,4.1,14.78,13.95,0,0.82,31.19,0,0,0,0,7.39,311.1,0,0,13.13,0,0.82
 36-46,0,0,0,0,16.11,9.67,653.4,0.81,0.81,27.39,0.81,0,0.81,0,0,1.61,3.22,0.81,0,128.91,0,4.03,34.64,1135.99,3.22,12.09,6.45,0,0,11.28,0,0.81,0.81,0,0,230.42,0,0,14.5,0,2.42
 48-58,0,0,0,0.57,11.48,6.31,678.81,0,1.15,29.84,0,0,0,0.57,0.57,1.15,2.87,0,0,118.2,0,2.87,20.08,464.21,1.15,2.87,4.02,0,0,3.44,0,0,0,0,0,62.54,0,0,9.18,0,0.57
 60-70,0,0,0,0,19.63,2.94,528.06,1.96,0,38.28,4.91,0,0,4.91,0,1.96,3.93,0,0.98,115.82,0.98,3.93,13.74,271.88,2.94,0.98,1.96,0,0.98,2.94,0,0,0,0,0,22.58,0,0,6.87,0.98,0.98
 72-82,0,0,0.98,0,17.67,7.85,160.99,0,1.96,33.38,0.98,0,1.96,3.93,0.98,2.94,0,0.98,0,75.59,0.98,4.91,12.76,129.58,0.98,0.98,2.94,0,0.98,0.98,0,0,0,0,0,7.85,0.98,0,4.91,0,0
 84-94,0,0,0,0,23.36,15.93,172.05,1.06,1.06,26.55,6.37,0,1.06,5.31,3.19,0,2.12,2.12,0,66.91,1.06,10.62,16.99,132.75,3.19,2.12,3.19,0,0,7.43,0,0,0,0,0,7.43,1.06,1.06,7.43,0,1.06
 96-106,0,0,0,0,13.11,15.3,69.94,0,0,13.11,4.37,0,1.09,6.56,2.19,0,1.09,0,0,31.69,0,1.09,7.65,89.61,0,3.28,1.09,0,0,3.28,0,0,0,0,0,1.09,1.09,0,4.37,0,0
108-118,0,0,0,0,4.6,19.92,72.77,0,0,15.32,1.53,0,0,2.3,0,2.3,1.53,0.77,0,19.92,0,0.77,3.83,81.96,0,0.77,3.83,0,0,1.53,0,0,0.77,0,0,0,0,0,3.06,0,0.77
120,0,0,0,0,7.84,13.72,97.99,0,0,21.56,3.92,0,1.96,11.76,0,0,0,1.96,0,27.44,0,1.96,11.76,115.63,0,0,1.96,0,0,1.96,0,0,0,0,0,3.92,0,0,7.84,1.96,0
