stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,13.14,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,1,0
 24-34,0,0,0,1.64,0,1.64,0.82,8.21,0,0,1.64,0.82
 36-46,0,0,0.81,1.61,0,0,0,5.64,0,0.81,0.81,0
 48-58,0,0,0,1.72,0,0.57,0,5.16,0,0,0.57,0
 60-70,0,0,0,1.96,0.98,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,1.96,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0
108-118,0,0,0,0,0,0,0,1.53,0,0,0,0
120,0,0,0,1.96,0,0,0,1.96,0,0,0,0
