stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,18.06,0,0.82,0,1.64,0,8.21,0,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,29,0,0,0,3.22,0,9.67,0,0,1.61,0,0
 48-58,0,0,0,0,0,12.05,0,0.57,0,0,0.57,0,0.57,0,0,0.57,4.02,0,0,0,25.82,0,0,0.57,1.15,0,7.46,0,0,0.57,0,1.15
 60-70,0,0,0,0,0,21.59,1.96,0,1.96,0,0,0,0,0,0.98,0,3.93,0,0,0,35.33,0.98,0,0,2.94,0,8.83,0,0,0,0,0
 72-82,0,0,0,0.98,0,25.52,0,0,2.94,0.98,0,0.98,0,0,0.98,0,7.85,0,0,0.98,31.41,0,0.98,0,0.98,0.98,0.98,0,0,0.98,0,0
 84-94,0,0,0,2.12,0,13.81,0,1.06,2.12,1.06,0,0,0,0,1.06,0,5.31,1.06,1.06,0,13.81,0,0,0,4.25,0,1.06,1.06,1.06,0,0,0
 96-106,0,0,0,1.09,1.09,8.74,0,0,5.46,1.09,0,1.09,2.19,1.09,0,0,3.28,0,1.09,2.19,10.93,1.09,0,0,5.46,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,3.83,0,10.72,0,0,2.3,0.77,0,0.77,0.77,0,0,0,2.3,0,0,0,18.38,0,0,0,6.13,0,0,0,0.77,0.77,0,0
120,0,0,0,3.92,0,7.84,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,11.76,0,0,0,3.92,0,1.96,0,0,1.96,0,1.96
