stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,0,0,0,0,0,0,1,0,7,0,0,1,5,0,0,0,0,0,0,0,0,0
 24-34,0,0,3.28,1.64,0,0,0,0.82,0,0,3.28,0,9.03,0,0,0,2.46,0,4.1,1.64,1.64,0.82,0.82,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,3.22,0,9.67,0,0,3.22,4.83,1.61,1.61,2.42,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,3.44,0,6.89,0,0,1.72,4.02,1.15,2.3,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0.98,2.94,0,11.78,0,0,0.98,7.85,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,9.82,0.98,0.98,0.98,0.98,0,0,0,1.96,1.96,11.78,1.96,0,0,8.83,0.98,0.98,1.96,0,0,0,0,0.98,0
 84-94,0,0,12.74,3.19,1.06,1.06,1.06,0,0,1.06,0,6.37,1.06,2.12,0,0,3.19,1.06,5.31,15.93,0,0,0,0,0,0
 96-106,0,0,43.71,1.09,2.19,1.09,0,0,1.09,1.09,4.37,9.84,6.56,6.56,1.09,1.09,8.74,5.46,1.09,44.81,0,0,0,1.09,0,1.09
108-118,0,0,30.64,2.3,1.53,0,2.3,0,2.3,4.6,1.53,9.96,4.6,1.53,0,1.53,8.43,0.77,3.83,22.21,0,0,0,0,0,0
120,0,1.96,15.68,0,0,0,1.96,0,0,7.84,0,1.96,7.84,0,0,1.96,3.92,1.96,3.92,58.79,0,0,0,0,0,0
