stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,909.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,39.43,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,13.14,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,3.15,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,97.56,3.15,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,17,22,9,0,3,0,0,0,2,1,0,14,0,4,0,0,0,0,33,0,0,7,124,1,0,1,0,1,0,4,18,1,1,40,0,0,2,0,0
 24-34,0,0,0.82,4.93,19.7,0.82,0,11.49,0,2.46,1.64,2.46,2.46,0,6.57,0.82,33.66,0,1.64,0,2.46,27.91,2.46,0,6.57,256.11,8.21,7.39,1.64,0,4.1,0,0,51.71,1.64,0,93.58,0,0,5.75,0,0.82
 36-46,0,0,0,0,17.72,0,0,45.92,0,3.22,0.81,11.28,0.81,0,5.64,0.81,13.7,0,0.81,0.81,8.86,22.56,0,0.81,6.45,317.43,7.25,8.06,1.61,0,2.42,0.81,0,25.78,0.81,0,78.15,0,0,1.61,0,5.64
 48-58,0,0,0,0,10.33,0.57,0,106.15,1.15,3.44,1.15,6.31,1.72,0.57,2.3,0.57,7.46,0.57,0,2.3,10.9,20.08,0.57,0,4.59,321.33,7.46,1.72,1.72,0,5.16,0,0,12.62,0,0,78.04,0,0.57,2.3,0,6.31
 60-70,0,0,0,0,23.56,0,0,142.32,0,6.87,0.98,24.54,1.96,0,2.94,0.98,7.85,1.96,1.96,0.98,7.85,37.3,0,2.94,1.96,515.3,11.78,3.93,0.98,0,5.89,0,0,15.7,0,0,87.36,0,1.96,1.96,2.94,3.93
 72-82,0,0,0.98,0,13.74,0.98,0,197.31,0.98,3.93,3.93,36.32,5.89,0,1.96,0.98,15.71,0.98,2.94,3.93,9.82,72.64,0.98,5.89,2.94,504.57,8.83,1.96,9.82,0,5.89,0,0,11.78,0,0,73.62,3.93,1.96,2.94,6.87,0
 84-94,0,0,1.06,0,45.67,1.06,0,180.55,1.06,6.37,2.12,16.99,15.93,0,1.06,4.25,23.36,4.25,4.25,7.43,15.93,46.73,1.06,1.06,0,285.69,19.12,1.06,11.68,0,16.99,0,0,35.05,2.12,0,36.11,14.87,1.06,3.19,11.68,3.19
 96-106,0,0,5.46,0,48.09,1.09,0,168.3,0,2.19,5.46,29.51,9.84,0,0,4.37,21.86,2.19,10.93,7.65,8.74,50.27,0,2.19,5.46,254.63,15.3,9.84,15.3,0,8.74,1.09,0,24.04,2.19,0,20.76,9.84,2.19,7.65,10.93,4.37
108-118,0,0,0,0,61.28,1.53,1.53,220.6,0.77,11.49,6.13,21.45,12.26,0,1.53,2.3,34.47,6.13,3.83,12.26,13.02,50.55,0,3.83,3.06,310.22,25.28,6.13,11.49,0,10.72,0.77,0,24.51,1.53,0,16.09,17.62,2.3,3.06,5.36,6.13
120,0,0,1.96,1.96,64.67,0,0,123.47,3.92,13.72,3.92,29.4,19.6,0,3.92,1.96,23.52,3.92,3.92,9.8,3.92,50.95,0,3.92,3.92,421.35,60.75,7.84,9.8,0,5.88,0,0,23.52,1.96,0,21.56,9.8,0,1.96,3.92,1.96
