stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,0,0,0,3,4,2,1,0,0,2,199,437,5,0
 24-34,0,0,0,0,0.82,42.68,1.64,0,0.82,0,0.82,0,0,3.28,12.31,28.73,0,0,0.82,0,83.73,265.96,9.03,0
 36-46,0,0,0,0,0.81,31.42,0,0,0,0,0,0,0,1.61,5.64,8.86,0,0,0.81,0,20.95,7.25,3.22,0
 48-58,0,0,0,0,2.87,11.48,0,0,0,1.15,0,0,0,0,6.89,5.74,0,0,0,0,4.59,0,2.3,0
 60-70,0,0,0,0,0.98,11.78,0,0.98,0,0,0,0,0,0,1.96,0.98,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,0,0.98,12.76,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,1.06,0,1.06,14.87,0,0,0,0,0,0,0,0,2.12,1.06,0,0,1.06,0,2.12,0,0,0
 96-106,0,0,0,2.19,1.09,21.86,0,0,0,0,0,1.09,0,2.19,10.93,2.19,0,0,1.09,0,10.93,0,0,0
108-118,0,0,0,0,0,11.49,0,0,0.77,0,0,0,0.77,2.3,6.13,0,0,0,0,0,4.6,0,0,0
120,0,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0,9.8,0,0,0,0,0,5.88,0,0,0
