stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,immune,iridophores,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0,0,1.64,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0.57,0.57,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,0,10.8,0.98,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,4.25,1.06,0,0,0,16.99,0,1.06,1.06,2.12,0,0,0,0,1.06,0,0,0,0,1.06,1.06
 96-106,0,0,0,2.19,0,0,1.09,0,43.71,0,1.09,2.19,0,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,36,0,0.77,0.77,2.3,0,0,0,0,0.77,0,0,0,0.77,0.77,0.77
120,0,0,0,0,1.96,0,0,0,47.03,0,0,0,3.92,0,0,1.96,0,0,1.96,0,0,0,0,0
