stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,86.75,5.26,0,0,21.03,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,3.15,0,0,50.35,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,9,2,0,4,0,0,4,1,0,0,1,0,0,1,0,0,1,38,0,0,1,0,0,2,0,1,0,1,11,0,0,1,0
 24-34,0,0,0.82,1.64,4.1,0,0,13.13,0.82,0,0.82,0.82,0,0.82,2.46,0,0,7.39,1.64,0,3.28,74.7,0,0,2.46,0,0,5.75,0,0,0.82,0,14.78,0,0,5.75,0
 36-46,0,0,0,0,1.61,0,0,11.28,0,0,6.45,0,0,0,0,0,0.81,7.25,0,0,2.42,59.62,0,1.61,1.61,0,0,8.86,0,0,0.81,0,19.34,0,0,2.42,0
 48-58,0,0,0,0,1.72,0,0,12.62,0.57,1.15,10.9,0.57,0,0.57,0.57,0,0,12.05,0.57,0,2.3,16.64,0,0.57,0.57,0,0,4.59,0,0,0,0,13.77,0,0,0.57,0.57
 60-70,0,0,0,0,3.93,0,0,13.74,0.98,0,9.82,0,0,0.98,0.98,0,1.96,12.76,0,2.94,0,18.65,0,1.96,1.96,0,0,3.93,0,0,0,0,9.82,0,0,0,0.98
 72-82,0,0,0.98,0,2.94,0,0,4.91,0.98,1.96,6.87,0.98,0,1.96,0.98,0,0.98,8.83,1.96,1.96,0.98,14.72,0,2.94,0.98,0,0.98,2.94,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,4.25,1.06,0,5.31,1.06,1.06,5.31,2.12,0,3.19,1.06,2.12,0,13.81,2.12,1.06,1.06,5.31,0,1.06,1.06,0,0,3.19,0,0,0,0,1.06,1.06,0,2.12,0
 96-106,0,0,0,0,2.19,0,0,8.74,1.09,1.09,6.56,0,1.09,4.37,2.19,1.09,0,7.65,0,1.09,0,6.56,0,2.19,3.28,0,0,9.84,0,0,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0,0,3.83,0.77,0.77,5.36,0.77,0.77,3.83,0,0,3.83,0.77,0,0,5.36,0.77,0,0,6.13,0,0.77,0.77,0,0,1.53,0,0,0,0,0,2.3,0,2.3,0
120,0,0,0,1.96,9.8,0,0,7.84,1.96,0,3.92,5.88,0,3.92,0,0,0,9.8,0,0,0,5.88,0,0,0,0,0,3.92,0,0,0,0,0,1.96,0,3.92,0
