stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,2279.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,1802.11,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,6.13,0,0,24.52,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,36.8,0,60.46,0,0,0,107.78,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,925.31,23.66,0,0,410.08,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,22.03,0,6.29,0,97.56,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,758.42,22.03,0,0,336.73,0,0,3.15,0,28.32,0,0,0,0,0,0,0
 14-21,0,1,0,3,52,16,0,33,0,0,0,7,2,1,0,0,0,0,0,0,35,0,0,18,487,4,1,7,17,0,2,0,55,0,29,156,0,0,2,0,0
 24-34,0,0,0.82,1.64,13.13,2.46,0,137.08,0,0,0.82,12.31,0,0,2.46,0,2.46,2.46,1.64,1.64,61.56,0,0,22.98,699.37,0.82,1.64,8.21,0,0,9.03,0,0,0,11.49,144.47,0,0,11.49,0,0.82
 36-46,0,0,0,0,4.03,1.61,0,160.33,0,1.61,0,23.36,1.61,0,2.42,0,0,0,1.61,0.81,63.65,0,0.81,20.14,414.92,1.61,2.42,1.61,0,0,4.03,0,0,0,0,95.07,0,0,4.83,0,1.61
 48-58,0,0,0,0,6.89,1.15,0,161.81,0,1.15,2.3,15.49,0.57,0,1.15,0,0.57,1.72,0.57,0.57,62.54,0,5.74,12.62,184.77,0,2.87,2.3,0.57,0,2.3,0,0,0,0,36.72,0,0.57,3.44,0,0.57
 60-70,0,0,0,0,10.8,0,0,129.56,0,0.98,0.98,25.52,1.96,0,0.98,0.98,0,0,0.98,0.98,46.13,0,3.93,10.8,132.51,0.98,2.94,0,0,0.98,4.91,0,0,0,0,13.74,0,0,1.96,0,0
 72-82,0,0,0,0.98,7.85,0.98,0,90.31,0,0,3.93,31.41,0,0,1.96,1.96,0.98,0.98,0,1.96,78.53,0,0.98,12.76,129.58,0.98,1.96,2.94,0,0.98,2.94,0,0,0.98,0,5.89,0,1.96,0.98,0,1.96
 84-94,0,0,0,0,11.68,0,0,50.98,0,0,1.06,14.87,0,0,0,3.19,1.06,0,4.25,0,44.61,0,4.25,8.5,81.78,0,1.06,3.19,0,0,9.56,0,0,2.12,0,6.37,1.06,2.12,5.31,1.06,0
 96-106,0,0,1.09,0,9.84,4.37,0,56.83,0,0,2.19,27.32,2.19,0,2.19,3.28,1.09,0,0,1.09,38.25,0,1.09,10.93,76.5,2.19,0,4.37,0,1.09,10.93,0,0,1.09,0,2.19,1.09,1.09,9.84,1.09,0
108-118,0,0,0,0,9.96,3.83,0.77,51.32,1.53,0.77,0.77,19.92,3.06,0,0,0.77,1.53,1.53,0,0.77,36,0,0,11.49,104.17,0,3.83,3.83,0,1.53,5.36,0,0,0,0,3.83,0.77,0,4.6,0.77,0
120,0,0,0,0,15.68,7.84,0,31.36,0,0,0,19.6,0,0,1.96,0,1.96,3.92,1.96,0,33.32,1.96,1.96,15.68,70.55,0,3.92,3.92,0,1.96,9.8,1.96,0,0,0,5.88,0,0,0,0,0
