stage,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,2,0,0,0,0,2,0,3,0,0
 24-34,0,0,0.82,0.82,0,0,0,2.46,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,7.25,0,0,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,4.59,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0.98,0.98,0,0,4.91,0,0,0,0.98,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,0,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,2.19,3.28,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0,0.77,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,3.92,1.96,0,1.96,0,0,0,0,0,0,0
