stage,epidermis,eye,glial,gut,heart,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,1.64,0,15.6,0,0,0,0,0,3.28,0.82
 36-46,0,3.22,0,0.81,0,0,0.81,0,10.47,0,0,0,0,0,3.22,0
 48-58,1.15,3.44,1.72,0,0.57,0.57,0.57,0,4.02,0.57,0.57,0,0,0.57,4.02,0
 60-70,0,4.91,0,0,0,0,0,0,7.85,0,0,0,0.98,0.98,1.96,0
 72-82,0,1.96,0.98,0,0,0,0,0,7.85,0,0,0,0,0,0,0
 84-94,0,1.06,0,1.06,0,0,0,0,2.12,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.19,0,0,0,0,1.09,1.09,0
108-118,0,1.53,0.77,0,0,0,0.77,0,3.83,0,0,0,0,0,0,0
120,0,1.96,0,0,0,0,3.92,1.96,1.96,0,0,0,0,1.96,0,0
