stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,18.88,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,4,0,0,0
 24-34,0,0,0.82,0,0,10.67,0,0,0,0,0,0,1.64,0,0.82,9.85,0,0,0,0,0.82,1.64,1.64,0,0
 36-46,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,9.67,0.81,0,0,0,0,0,2.42,0,0.81
 48-58,0,0,0,2.87,0.57,2.3,0,1.15,0,0,0,0,5.74,0.57,1.15,10.33,0,0.57,0,0,0,0,4.02,0,0
 60-70,0,0,0,0,0,0.98,0,3.93,0,0,0.98,0,7.85,0,0,7.85,0,0,0,0,0,0,1.96,0,0.98
 72-82,0,0,2.94,7.85,0,5.89,0,0.98,0,0,0,0.98,24.54,1.96,0.98,20.61,0,0,0,0.98,0,0,1.96,0.98,0.98
 84-94,0,0,1.06,4.25,0,4.25,1.06,2.12,0,0,0,0,27.61,2.12,0,5.31,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,2.19,2.19,0,1.09,0,2.19,0,0,1.09,0,29.51,0,0,6.56,0,3.28,0,0,0,0,0,0,1.09
108-118,0,0,2.3,1.53,0,8.43,0,5.36,0,0.77,0,0,12.26,1.53,0,3.06,0.77,0,0,0.77,0,0,0,0,0
120,0,0,1.96,1.96,0,9.8,0,9.8,0,1.96,0,0,15.68,0,0,9.8,0,0,0,0,0,0,0,0,1.96
