stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,79.69,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,49.95,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,12.59,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,8,0,5,3,3,0,1,0,0,0,8,0,0,2,56,4,0,0,2,0,0,9,0,3,17,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,12.31,0.82,0,0,0,0,0.82,0,4.93,0,0,3.28,68.95,0,0.82,0,0,1.64,0,0,0,1.64,16.42,0,0,2.46,0,0
 36-46,0,0,0,0,0,8.86,2.42,0,0,0.81,0,0,0,8.86,0,0.81,3.22,33.84,0,0.81,0,0,0,0,0,0.81,0,12.89,0,0,1.61,0,0
 48-58,0,0,0,1.15,0,10.9,2.3,0,0,0.57,0,0,0,5.16,0,1.72,2.87,16.07,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0
 60-70,0,0,0,1.96,0,4.91,0.98,0,0,0,0,0,0,5.89,0,0,1.96,16.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,7.85,1.96,0,0,0,0,0.98,0,5.89,0.98,0.98,0,12.76,0,0,0,0,0.98,0,0,0,0,0.98,0,1.96,0,0.98,0
 84-94,0,0,0,1.06,0,2.12,2.12,1.06,0,0,0,0,0,8.5,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,4.37,3.28,0,0,0,0,0,0,10.93,0,0,1.09,3.28,0,2.19,2.19,0,2.19,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,3.06,0,4.6,3.06,0,0,0,0,0,0.77,2.3,0,0,0,6.13,0,0.77,0.77,0,0.77,0,0,0,0,0.77,0.77,0,0,0,0
120,0,0,0,1.96,0,9.8,1.96,1.96,0,0,1.96,0,0,3.92,0,0,1.96,5.88,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96
