stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,619.36,9857.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.69,0,0,0,0,0,0,0,0,0,0,0
  5-6,275.83,3267.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,12.26,0,0,12.26,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,7.89,0,0,0,26.29,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,191.9,10.51,0,0,55.2,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,22.03,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,207.7,37.76,0,0,91.26,0,0,6.29,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,6,6,17,15,0,14,0,0,0,6,0,1,1,0,1,0,0,0,4,0,0,5,302,6,7,3,0,0,2,7,23,5,4,35,94,0,0,2,0,0
 24-34,0,0,7.39,0.82,7.39,0,0,54.18,0,0,0,4.1,0,0,1.64,0.82,9.85,0.82,1.64,0.82,9.85,0.82,0,3.28,1196.81,3.28,42.68,5.75,0,0,5.75,0.82,0,2.46,1.64,2.46,246.26,0,0,10.67,0,0
 36-46,0,0,3.22,0,2.42,0,0,124.88,0,0,0.81,7.25,0,0,0.81,0.81,0.81,0,0,1.61,8.06,0.81,0,3.22,1890.91,0.81,45.92,3.22,0,0,8.06,2.42,0,5.64,0,0,306.96,0,0.81,9.67,0,0
 48-58,0,0,1.72,0,5.74,0,0,247.31,0,0,0,24.1,0,0,0.57,0,0.57,1.15,1.72,0,16.64,0,1.72,3.44,1775.93,0.57,29.84,5.74,0,0,2.87,0,0,1.15,0,0,267.97,0,0,3.44,0,1.15
 60-70,0,0,4.91,0,4.91,0,0,489.78,1.96,0.98,0,53.98,1.96,0,1.96,0,0,0.98,0,0,18.65,0,0.98,3.93,2158.37,1.96,26.5,4.91,0,0,2.94,0,0,3.93,1.96,0,264.03,1.96,0,7.85,0,0
 72-82,0,0,18.65,0,17.67,1.96,0,745.08,0.98,0.98,1.96,115.84,12.76,0,3.93,3.93,3.93,1.96,2.94,2.94,47.12,0,0,3.93,1846.51,0.98,58.9,7.85,0,0.98,9.82,0,0,2.94,0,0,165.9,6.87,0.98,28.47,5.89,1.96
 84-94,0,0,7.43,0,23.36,0,0,518.27,0,1.06,1.06,75.4,11.68,0,3.19,2.12,7.43,1.06,2.12,2.12,33.99,0,5.31,4.25,981.32,2.12,28.68,4.25,0,0,20.18,0,0,0,1.06,0,79.65,26.55,2.12,25.49,1.06,0
 96-106,0,0,13.11,0,20.76,2.19,1.09,407.63,0,2.19,2.19,59.01,18.58,0,2.19,4.37,3.28,1.09,3.28,5.46,34.97,1.09,2.19,1.09,811.99,0,56.83,4.37,0,2.19,16.39,2.19,0,3.28,2.19,0,43.71,57.92,1.09,29.51,1.09,0
108-118,0,0,9.19,0.77,22.21,0,0,270.38,0.77,0,2.3,70.47,10.72,0,0,3.83,5.36,0.77,3.83,3.06,32.94,0,1.53,1.53,970.48,1.53,49.02,3.06,0,0,16.85,0,0,3.06,2.3,0,24.51,56.68,0.77,21.45,2.3,0.77
120,0,0,3.92,0,25.48,0,0,178.34,0,0,0,50.95,11.76,0,3.92,3.92,1.96,1.96,3.92,0,29.4,0,0,7.84,897.58,3.92,27.44,11.76,0,0,21.56,0,0,0,1.96,0,35.28,29.4,0,17.64,1.96,0
