stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0
 24-34,0,0,0,0.82,12.31,1.64,0,4.93,0,0,0,0.82,0,0,0.82,0,1.64,0,0,0,0.82,0.82,0,0,0.82,58.28,0.82,3.28,0,0,0,0,0,11.49,0,13.13,0,0,0,0,0
 36-46,0,0,0,0,2.42,0.81,0,10.47,0,0,0,1.61,0.81,0,0,0,0,0,0,0,0,0,0,0,2.42,193.36,0.81,1.61,0,0,1.61,0,0,5.64,0,46.73,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,74.02,0,0,0.57,4.59,0,0,0,0,0,0,0,0,0,3.44,0,0,0.57,301.82,0,1.15,0,0,0.57,0,0,1.15,0,55.09,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,452.48,0,0.98,0,19.63,0,0,0,0,0,0.98,0,0,0,3.93,0,0,0,630.14,0.98,0.98,0,0,0.98,0,0.98,0.98,0,66.74,0,0.98,0,0.98,0.98
 72-82,0,0,0,0,1.96,0.98,0,430.95,0,0.98,0,26.5,0.98,0.98,0.98,0,0,0.98,0,0,0,12.76,0.98,0.98,0,600.78,0.98,0.98,2.94,0,0.98,0,0,0,0,29.45,0,0,0,0.98,0.98
 84-94,0,0,0,0,4.25,1.06,0,269.76,1.06,0,1.06,11.68,1.06,0,1.06,0,1.06,0,1.06,0,0,10.62,0,1.06,5.31,299.49,1.06,0,2.12,0,2.12,0,0,0,0,23.36,1.06,2.12,0,0,0
 96-106,0,0,0,0,3.28,2.19,0,149.72,0,0,0,13.11,0,0,0,0,0,0,0,0,0,7.65,0,1.09,1.09,219.66,0,0,2.19,0,0,0,0,0,0,8.74,2.19,1.09,1.09,4.37,1.09
108-118,0,0,0.77,0,4.6,1.53,1.53,108.77,0.77,0,0,14.55,2.3,0,0,0.77,0.77,0,0,2.3,0,6.13,0,1.53,1.53,248.17,0,0,0,0,0,0,0,0,0,4.6,1.53,0,0.77,0.77,0.77
120,0,0,0,0,5.88,1.96,0,103.87,0,0,0,13.72,0,0,0,0,0,0,0,0,0,9.8,1.96,0,1.96,380.2,0,0,3.92,0,0,0,0,0,0,13.72,0,0,0,1.96,0
