stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  3-4,92.25,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0
  5-6,18.39,649.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,5.26,0,0,18.4,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,12.59,0,0,0,0,9.44,0,0,0,0,0,0,0,69.23,0,0,0,6.29,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,19,1,0,2,0,0,0,0,3,3,0,0,1,1,0,0,10,0,1,67,0,0,4,1,1,1,2,0,0,1
 24-34,0,0,0,3.28,7.39,0,0,2.46,0.82,0,0,2.46,0.82,14.78,0,16.42,0.82,0,3.28,0,13.13,0,7.39,46.79,0,0,2.46,0,0,0.82,1.64,0,0,0
 36-46,0,0,0,0,3.22,0,0,1.61,0.81,0,0,0,0,0.81,0,6.45,0,0,0,0,9.67,0,4.03,17.72,0,0,0.81,0,0,1.61,0.81,0,0,0
 48-58,0,0,0,0,3.44,0,0,2.87,1.72,0,0.57,0.57,1.72,1.15,0.57,9.75,0,0.57,0.57,0,9.18,0,4.02,17.79,0,0,1.15,0,0,0,1.15,0,0,0.57
 60-70,0,0,0,0,4.91,0,0,12.76,2.94,0.98,0.98,1.96,0.98,0.98,0,13.74,0,0,0.98,0,8.83,0,6.87,16.69,0,0,3.93,0,0,0,0.98,0.98,0,0
 72-82,0,0,3.93,0,9.82,0,0,30.43,3.93,0.98,3.93,1.96,0.98,0.98,0,31.41,0,0,3.93,0.98,13.74,0,21.6,30.43,0,0,2.94,0,0,0,1.96,8.83,0,0
 84-94,0,0,3.19,0,15.93,0,0,21.24,9.56,0,2.12,4.25,2.12,8.5,2.12,28.68,0,0,2.12,0,6.37,0,19.12,31.86,0,0,2.12,0,0,0,0,10.62,0,0
 96-106,0,0,2.19,0,15.3,1.09,0,6.56,8.74,0,8.74,6.56,0,5.46,0,46.99,0,2.19,2.19,0,7.65,1.09,21.86,38.25,0,1.09,3.28,0,0,0,1.09,19.67,0,1.09
108-118,0,0,1.53,0.77,8.43,0,3.06,9.19,15.32,0,7.66,13.79,0,10.72,0,32.94,0.77,3.06,0.77,0,9.96,0,9.19,26.81,0,0,2.3,0,0,0,0.77,21.45,0.77,0.77
120,0,0,3.92,0,11.76,0,0,13.72,11.76,0,5.88,21.56,0,1.96,0,15.68,0,0,0,0,3.92,1.96,1.96,23.52,0,0,3.92,0,0,0,0,7.84,0,0
