stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,12,0,0,0,1,0,0,4,7,0,0,0
 24-34,0,0,3.28,0,0,4.1,0,0,0,0,0,0.82,0,0,0,0,0,4.1,0,0,41.04,0.82,0,0.82,0,3.28,0,0,8.21,0,0,1.64
 36-46,0,0,1.61,0,0,4.83,0,0,1.61,0,0,0,0,0,0,0,0,3.22,0,0.81,54.79,0,0.81,1.61,0,0.81,0,0,7.25,0,0,0.81
 48-58,0,0,1.15,0,0,21.23,0,0.57,4.02,0,0,0,0,0.57,0,0,0.57,4.02,0,1.15,33.85,0,0,0.57,0,0,0,0,13.77,0,0,1.15
 60-70,0,0,2.94,0,0,30.43,0,0,3.93,0,0,0,1.96,0,0,0,0,6.87,0.98,1.96,65.76,0,0.98,0.98,0,1.96,0.98,0,4.91,0,0,0
 72-82,0,0,0,0,0,36.32,0,0,6.87,0,0,0,0.98,0,0,0,0,6.87,0,0.98,47.12,0.98,0.98,0,0,0.98,0,0,2.94,0,0,1.96
 84-94,1.06,0,0,2.12,1.06,23.36,0,1.06,2.12,0,1.06,0,1.06,1.06,0,2.12,0,5.31,0,2.12,38.23,1.06,1.06,1.06,0,3.19,0,0,5.31,0,1.06,2.12
 96-106,0,0,2.19,4.37,0,21.86,0,0,4.37,1.09,0,1.09,2.19,1.09,0,1.09,0,4.37,0,1.09,20.76,0,0,1.09,0,7.65,0,0,2.19,1.09,0,0
108-118,0,0,0.77,1.53,0.77,19.15,0,0.77,2.3,0,0,0,0.77,0,1.53,0,0,3.06,0,0,19.92,0,0,1.53,0,0.77,0.77,0,0.77,0,0,0.77
120,0,0,0,1.96,0,9.8,1.96,0,7.84,0,0,0,5.88,0,0,0,0,5.88,0,1.96,27.44,0,0,0,0,0,1.96,0,0,0,0,3.92
