stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,126,10,0,23,0,1,0,9,2,4,0,0,1,0,0,0,0,20,0,0,11,240,11,1,21,4,0,26,3,10,2,10,69,72,0,0,4,0,2
 24-34,0,3.28,86.19,27.91,0,52.53,0,4.1,2.46,4.93,1.64,0,0.82,0,5.75,0,4.93,6.57,0,41.86,1.64,0,11.49,334.91,6.57,8.21,34.48,0,0,143.65,0,0,7.39,0,18.88,71.41,0,0,14.78,0,3.28
 36-46,0.81,0,25.78,8.86,0,155.49,0.81,4.03,0,35.45,0.81,0,0.81,0.81,2.42,0,2.42,0.81,0.81,66.87,3.22,1.61,16.92,406.06,3.22,11.28,19.34,0,0,145.83,2.42,0,4.03,0,0.81,97.49,0,0,7.25,0,3.22
 48-58,0,1.72,26.4,9.75,0,228.37,0,9.18,1.72,39.02,2.3,0,1.15,0,1.72,0.57,5.74,2.87,0,70.58,2.3,1.15,13.2,227.23,9.75,2.3,26.4,0,0,119.93,0,0,2.3,0,0,55.09,0,0,5.74,0,1.72
 60-70,2.94,0,18.65,1.96,0,351.38,1.96,9.82,1.96,73.61,7.85,0,0,0,7.85,1.96,15.7,2.94,0,74.6,0.98,2.94,6.87,279.73,3.93,3.93,29.45,0,0,121.71,0,0,0.98,0,0,33.37,0.98,0.98,3.93,1.96,2.94
 72-82,2.94,0,43.19,2.94,0,328.86,1.96,7.85,5.89,155.1,30.43,0,0.98,1.96,0,3.93,29.45,15.71,0.98,116.82,0,2.94,12.76,286.65,6.87,4.91,58.9,0,0,120.74,0,0,4.91,0,0,24.54,3.93,2.94,12.76,0.98,2.94
 84-94,1.06,0,74.34,3.19,0,287.81,0,21.24,5.31,142.31,69.03,0,1.06,0,2.12,6.37,47.79,54.16,0,101.96,3.19,4.25,7.43,224.09,13.81,4.25,84.96,0,0,459.86,0,0,12.74,0,0,20.18,9.56,6.37,12.74,4.25,11.68
 96-106,7.65,0,54.64,7.65,0,216.38,0,9.84,2.19,121.31,64.48,0,0,2.19,6.56,1.09,65.57,45.9,0,50.27,4.37,2.19,4.37,166.11,8.74,7.65,88.52,0,0,180.32,2.19,0,4.37,0,0,9.84,3.28,2.19,8.74,3.28,9.84
108-118,1.53,2.3,53.62,6.89,3.83,159.32,0.77,6.13,0.77,132.51,50.55,0,0,5.36,3.83,3.83,37.53,219.07,0,48.26,3.83,2.3,3.83,271.92,11.49,4.6,68.94,0,0.77,123.32,0.77,0,3.83,0,0,3.83,6.13,2.3,4.6,0,23.74
120,0,0,21.56,5.88,0,96.03,0,1.96,0,66.63,9.8,0,0,0,1.96,1.96,31.36,15.68,0,31.36,1.96,1.96,0,176.38,3.92,0,58.79,0,0,66.63,1.96,0,3.92,0,0,5.88,1.96,0,0,0,3.92
