stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,19,1,1,0,1,0,8,4,7,0,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,4.93,0,0,0,0,0,0,0.82,0,0,0,1.64,3.28,0,0,41.04,0,0,0.82,0,1.64,0,0.82,9.85,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0.81,0,3.22,0,0.81,52.37,0,0,0,0,4.03,0,0,9.67,0,0,2.42,0,0
 48-58,0,0,0.57,0,0,0,0,18.94,0,0,1.72,0,0,1.15,0,0,0,0,0.57,4.59,0.57,0.57,41.89,0.57,0.57,0,0,0.57,0,0,12.05,0,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,0,21.59,0.98,0.98,2.94,0,0,0,0,0,0,0,0.98,3.93,0,0.98,42.21,0,0,0,0,0.98,0,0,6.87,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,2.94,0,16.69,0.98,0,3.93,0.98,0,0.98,0.98,0.98,0,0,0,8.83,0,0,45.16,0,0.98,0.98,0,0.98,0,0,2.94,0.98,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,7.43,0,0,2.12,0,0,0,0,0,0,0,1.06,7.43,0,1.06,25.49,0,0,0,0,3.19,0,0,0,0,2.12,0,0,1.06
 96-106,0,0,0,0,3.28,0,1.09,5.46,0,0,6.56,0,0,0,1.09,0,0,0,0,0,0,0,17.49,1.09,2.19,0,0,2.19,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,2.3,1.53,0,5.36,0.77,0,3.83,0.77,0,3.06,0,0.77,0.77,0.77,0,3.83,0,0.77,21.45,0,0.77,1.53,0,3.83,0,0,1.53,0,0,0.77,0,0
120,0,0,0,0,3.92,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,1.96,15.68,0,0,0,0,0,0,0,1.96,0,0,0,0,0
