stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,118.29,5.26,0,0,23.66,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,6.29,0,0,40.91,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,13,3,5,0,0,4,1,0,1,0,0,0,0,0,0,8,0,0,3,63,0,0,0,2,0,0,6,1,2,29,0,0,1,0,0
 24-34,0,0,0,0,4.1,0.82,14.78,0,2.46,4.93,0.82,0,0,0,0,1.64,0,0,0,21.34,0.82,0,7.39,125.59,0,0.82,3.28,0,0,0,0,0,4.93,37.76,0,0,2.46,0,4.1
 36-46,0,0,0,0.81,4.03,0.81,40.28,0,1.61,2.42,0,0,0,0.81,0,3.22,0,0,0,18.53,0.81,1.61,9.67,122.46,0,1.61,0.81,0,0,0,0,0,0,29.81,0,0,0.81,0,2.42
 48-58,0,0,0,0,2.3,0.57,23.53,0.57,1.72,5.74,0,0,0,0,0,3.44,1.15,0,1.15,20.66,0.57,1.15,7.46,52.22,2.3,0,0.57,0,0,0,0,0,0,10.9,0,0,2.87,0,5.74
 60-70,0,0,0,0,0,0.98,26.5,0,0.98,6.87,0,0,0,0.98,0,3.93,0,0.98,0,15.7,0,0,0.98,23.56,0.98,0,1.96,0,0.98,0,0,0,0,0.98,0,0,0.98,0,2.94
 72-82,0,0,0.98,0,1.96,0.98,11.78,0,5.89,14.72,0.98,0,0.98,0,0,3.93,0,0,0,35.34,1.96,1.96,2.94,24.54,1.96,0,0.98,0,0,0,0,0,0,2.94,0.98,3.93,1.96,0.98,3.93
 84-94,0,0,0,0,1.06,0,4.25,0,1.06,3.19,0,1.06,0,3.19,0,2.12,0,0,1.06,11.68,0,0,1.06,13.81,2.12,0,3.19,0,1.06,0,0,0,0,0,1.06,0,3.19,0,0
 96-106,0,0,0,0,2.19,0,5.46,0,0,4.37,0,0,0,2.19,1.09,5.46,0,0,0,7.65,0,0,1.09,6.56,1.09,0,2.19,0,1.09,0,0,1.09,0,1.09,0,0,0,0,1.09
108-118,0,0,0,0,2.3,0.77,6.13,0,2.3,6.13,0,0,0,2.3,0,6.13,0,0,0.77,5.36,0,0,2.3,17.62,0.77,0,0.77,0,0,0,0,0,0,0.77,2.3,0,2.3,0,2.3
120,0,0,0,0,1.96,1.96,3.92,0,0,9.8,1.96,0,0,1.96,0,0,0,0,3.92,11.76,0,0,0,11.76,0,1.96,0,0,1.96,0,0,0,0,1.96,1.96,0,1.96,0,0
