stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,gut,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,13,7,0,5,2,1,0,0,2,0,0
 24-34,0,0,0.82,2.46,0,0.82,0,2.46,0,0.82,3.28,0,0.82,0.82,0,0,0,0,0,0,0
 36-46,0,0,0.81,0.81,0,0,0.81,1.61,0,0,1.61,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,3.19,0,27.61,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,1.09,0,4.37,1.09,27.32,2.19,0,2.19,0,0,0,0,0,0,0,1.09
108-118,0,0,0,2.3,0.77,2.3,0,3.06,0,212.17,1.53,0,6.13,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,0,0,0,0,21.56,0,0,0,0,0,0,0,0,0,0,0
