stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,1,1,1,0,0,0,0,0,0,0,0,0,1,6,1,0,1,1,2,3,2,5,6,0
 24-34,0,1.64,0,0.82,0,0,0.82,0,0,0.82,0,0.82,0,3.28,12.31,0.82,0,0.82,0,4.93,0,0,0.82,2.46,0
 36-46,0,0.81,0,1.61,0.81,0,0,0,0,0,0,1.61,0,0,9.67,0,0,0,0,3.22,0,0,0,0.81,0
 48-58,0,0,0,1.72,0,0,0.57,0,0,0,0,0.57,0.57,0,9.18,0,0,0,0,1.72,0,0,0,0,0.57
 60-70,0,0.98,0,2.94,0,0,0,0,0,0,0,1.96,0,0,4.91,0,0,0,0,0.98,0,0,0,0.98,0
 72-82,0,0.98,0,4.91,0,0.98,0,0,0,0,0,2.94,0,0.98,9.82,0,0,0,0,0.98,0,0,0,0.98,0
 84-94,0,2.12,0,1.06,1.06,1.06,1.06,0,0,0,0,1.06,0,0,2.12,0,2.12,1.06,0,4.25,0,0,0,0,0
 96-106,0,2.19,1.09,1.09,0,0,1.09,0,1.09,0,0,1.09,0,0,2.19,0,1.09,0,0,4.37,0,0,0,0,1.09
108-118,0,1.53,0,0,0,0,0.77,0.77,0,0,0.77,1.53,0,0,2.3,0,0.77,0,0,5.36,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
