stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0
 36-46,0,0.81,1.61,0,0,0,0,0,0,0,0,4.83,3.22,0,0,0,0,0,0
 48-58,0,0,5.74,0,0,0,0,0,0,0,0,6.31,2.87,0,0,1.15,0,0,0
 60-70,0.98,0,103.06,0,0,0,0.98,0,0,0.98,0,38.28,1.96,0,0,0.98,0,0.98,0
 72-82,0.98,1.96,315.11,0,0,0.98,9.82,0,0,3.93,0,105.04,7.85,0,0.98,0,0,0.98,1.96
 84-94,0,2.12,194.35,1.06,0,0,9.56,0,1.06,4.25,2.12,56.29,5.31,0,0,2.12,0,1.06,0
 96-106,0,2.19,221.85,0,1.09,0,17.49,0,0,9.84,1.09,64.48,14.21,1.09,1.09,0,1.09,1.09,0
108-118,0,2.3,196.09,0,0,0,4.6,1.53,0,4.6,0,51.32,7.66,0,0,0.77,0.77,0,0
120,0,1.96,94.07,0,0,0,3.92,0,0,0,0,68.59,7.84,1.96,0,1.96,0,1.96,0
