stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0.82,0,0,0,0,0,0,0,1.64
 36-46,0,0,2.42,0.81,0,0.81,1.61,0,0,0,0,0,0,12.09,0,0,1.61,0,0,0.81,0,1.61,0,0
 48-58,0,0,1.15,0.57,0,0,0,0,0.57,0,1.15,0,0,8.61,0,0,0,0,0,0,0.57,1.72,0,0
 60-70,0,0.98,3.93,0.98,0.98,0,0,0,0,0,4.91,0,0,3.93,0,0,0,0,0,0.98,0,0.98,0,3.93
 72-82,0,0,3.93,2.94,0,0.98,0,6.87,0,0,7.85,0,0.98,3.93,0,0,0,0,0,0.98,0,0.98,0,1.96
 84-94,0,1.06,8.5,2.12,1.06,0,0,4.25,2.12,0,1.06,1.06,0,1.06,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,6.56,0,0,0,0,6.56,0,0,2.19,0,0,3.28,0,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0.77,3.83,0.77,0,0,0,13.02,0,0.77,1.53,0,0,4.6,0.77,0,0.77,0,0,0,0,0,0,3.06
120,0,3.92,5.88,1.96,0,0,0,21.56,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0
