stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,36,40,29,7,0,0,0,0,28,0,0,0,0,0,0,6,32,1,0,13,31,4,0,2,18,0,2,1,34,71,0,11,50,0,0,0,0,3
 24-34,0,0,14.78,14.78,0.82,4.93,0,0,0,0,3.28,1.64,0,0,0.82,0,1.64,4.1,44.33,0,1.64,9.03,91.12,0.82,1.64,8.21,0,0.82,1.64,0,0,4.1,0,2.46,39.4,0,0,0,0,4.93
 36-46,0,0.81,0,8.86,0,18.53,0.81,0,0,1.61,3.22,0.81,0,0,0,0,0.81,0,63.65,0,12.09,8.86,161.13,0,0.81,0.81,0,0.81,0.81,0,0,0.81,0,0,73.32,0,0.81,0,0,0
 48-58,0.57,0.57,0.57,4.59,0,88.94,1.15,0.57,0,2.87,0,0,0,0,0,0,0,0,121.07,0.57,25.25,14.35,241,0,0.57,4.59,0,2.3,0,0,0,0.57,0,0,71.15,0,1.15,0,0,0
 60-70,0,2.94,0,2.94,0,352.37,1.96,0,0.98,14.72,0.98,0,0,0,0,0,0.98,0,170.78,0,24.54,12.76,407.33,0,0,6.87,0,0,1.96,0,0,0,0,0,80.48,0,9.82,0,2.94,0.98
 72-82,0,24.54,0,5.89,0.98,326.89,0.98,0.98,0,46.14,1.96,0,0,1.96,0,0,0.98,0,183.57,0,30.43,15.71,531.08,0,0,16.69,0,0,0,0,0,0,0,0,50.06,0,16.69,0.98,13.74,1.96
 84-94,0,19.12,0,9.56,0,174.17,0,0,1.06,25.49,3.19,1.06,1.06,1.06,0,0,1.06,0,117.89,0,32.92,11.68,270.82,0,1.06,21.24,0,0,0,0,0,1.06,0,0,27.61,0,12.74,1.06,15.93,0
 96-106,0,37.16,0,7.65,1.09,125.68,1.09,0,0,26.23,6.56,1.09,0,1.09,1.09,1.09,3.28,0,103.82,0,17.49,7.65,271.03,0,1.09,27.32,0,0,0,0,0,2.19,0,0,12.02,1.09,6.56,0,15.3,1.09
108-118,0,16.09,0,4.6,0,152.43,0.77,0.77,0,29.11,3.06,0.77,1.53,0,0,0,2.3,0,93.45,0,11.49,4.6,262.73,0,0,11.49,0,0.77,0,0,0,1.53,0.77,0,11.49,0.77,3.06,0,8.43,0
120,0,7.84,0,5.88,1.96,94.07,0,0,0,17.64,1.96,0,0,0,1.96,0,0,0,50.95,0,13.72,5.88,227.34,0,0,5.88,0,0,0,0,0,3.92,0,0,9.8,0,1.96,0,5.88,1.96
