stage,axial,blastomeres,endoderm,eye,fin_epithelia,glial,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,spinal_cord
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,10.51,0,2.63,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,31.47,3.15,9.44,0
 24-34,0,0,0.82,0,0,0.82,0,0,4.1,0,0,3.28
 36-46,0,0,0,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,0,0,0,0,3.44,0,0,1.15
 60-70,0,0,0,2.94,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,4.37,0,0,0,0,2.19,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0.77,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0
