stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,33,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,5.75,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0,5.75,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,54.79,8.86,0,0,0,0,1.61,1.61,0,0,4.03,0,0,0,0,0,4.03,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0.57,0,0,83.2,6.89,0,0,0.57,0,1.72,0,0,1.15,6.89,0,0,0.57,0,0,5.74,0,0,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,4.91,0,0,0,0.98,4.91,0,109.93,10.8,0,0,3.93,0,1.96,0.98,0,0,9.82,0,0,0,0,0,56.93,0,0,0,3.93,0,0,0.98,0,0
 72-82,0,0,0,13.74,0.98,0,8.83,0.98,0,0,1.96,46.14,0.98,117.8,22.58,0,0,1.96,0,6.87,3.93,0,0.98,28.47,0,0.98,0,0,0,191.42,0,0,0,1.96,0,0.98,1.96,0,0.98
 84-94,0,0,0,43.54,3.19,0,4.25,0,7.43,1.06,2.12,97.71,0,149.75,45.67,1.06,0,0,0,5.31,8.5,0,0,10.62,1.06,1.06,1.06,0,0,523.58,0,0,0,0,0,0,0,0,0
 96-106,0,0,4.37,79.78,5.46,0,65.57,2.19,19.67,1.09,15.3,273.21,1.09,170.48,85.24,2.19,0,4.37,0,33.88,13.11,1.09,2.19,116.93,1.09,2.19,3.28,0,1.09,990.12,1.09,4.37,0,5.46,1.09,0,6.56,1.09,1.09
108-118,0,0,1.53,72,3.06,6.89,42.89,0.77,15.32,1.53,12.26,380.68,0,140.17,75.83,5.36,1.53,1.53,0.77,39.83,19.92,0.77,6.89,89.62,1.53,3.06,2.3,0,0.77,472.6,0,3.83,0.77,3.83,1.53,0,5.36,1.53,1.53
120,0,0,1.96,50.95,9.8,1.96,39.2,1.96,5.88,3.92,15.68,288.09,0,246.93,35.28,1.96,1.96,9.8,0,35.28,11.76,1.96,7.84,107.79,5.88,5.88,1.96,0,0,433.11,0,3.92,0,1.96,0,0,5.88,0,3.92
