stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,6.29,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,1,2,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,6.57,0,0,0,0,0,1.64,0.82,1.64,4.1,0,0
 36-46,0,0,1.61,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,8.86,0,0,0,0,0,0.81,0,0,2.42,1.61,0
 48-58,0,0,0.57,1.15,0,1.72,0,0,0,0.57,0,0,0,0.57,1.15,0,0,0,4.02,0,0.57,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,9.82,0.98,0.98,0,0,0,0,0,0,0,0,3.93,0,0,0,2.94,0,0,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,2.94,0,0.98,0,0,0.98,1.96,0,0,0,0,2.94,0,0,0,4.91,0,1.96,0,0,0,5.89,0,0,0.98,1.96,0
 84-94,0,0,0,5.31,0,0,1.06,0,5.31,1.06,0,0,0,0,3.19,0,0,0,2.12,0,0,1.06,0,0,7.43,0,0,0,3.19,0
 96-106,0,0,4.37,1.09,0,4.37,0,0,7.65,0,0,0,0,0,2.19,2.19,0,1.09,5.46,0,0,0,0,0,15.3,0,0,0,3.28,0
108-118,0,0,2.3,4.6,0,3.83,0,0,5.36,0,1.53,0,0.77,0,4.6,0,0.77,0,3.06,0,3.83,0,0,0.77,9.19,0,0,0.77,1.53,1.53
120,0,0,1.96,1.96,1.96,1.96,0,0,5.88,0,0,0,0,0,0,0,1.96,0,9.8,0,1.96,0,0,0,15.68,0,0,0,0,0
