stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,10,1,0,0,0,0,1,0,0,0,8,0,0,0,0
 24-34,0,0,0,1.64,0,0,3.28,0.82,0,0.82,0,0,0,0,0,0,0,0.82,0.82,4.1,0,0,2.46,34.48,0,0,0,0,1.64,0,0,0,2.46,9.85,0,0,4.93,0
 36-46,0,0,0,0.81,0.81,0,11.28,0,0.81,0.81,0,0,0,0,0,0.81,0,0.81,0,5.64,0,0.81,4.83,47.53,0,0,1.61,0,1.61,0,0,0.81,0,10.47,0,0,4.03,0
 48-58,0,0,0,1.15,0,0,9.18,0.57,0,4.02,0,0.57,0,0.57,0,0,0,0,0,5.74,0,0,0.57,32.13,0.57,0.57,0,0,0,0,0,0.57,0,8.61,0,0,1.15,0
 60-70,0,0,0,0.98,0,0,11.78,0,0,2.94,0.98,0,0,0.98,0,0,0,0,0,5.89,0,0,1.96,37.3,0,0,0.98,0,1.96,0,0,0,0,4.91,0,0.98,1.96,0
 72-82,0,0,0.98,0.98,1.96,0,15.71,0,0.98,4.91,0,0,0.98,3.93,0,0,0,0,0,8.83,0,0,2.94,33.38,0,0.98,0,0,2.94,0,0.98,0,0,2.94,0.98,0,0,0
 84-94,0,0,0,3.19,0,0,7.43,0,0,5.31,2.12,0,0,2.12,0,0,0,0,0,3.19,1.06,2.12,4.25,13.81,1.06,0,1.06,0,4.25,0,0,0,0,2.12,1.06,0,2.12,0
 96-106,0,0,0,1.09,0,1.09,5.46,0,1.09,5.46,0,0,0,3.28,0,0,0,0,0,6.56,0,0,2.19,8.74,0,0,0,0,9.84,0,0,0,0,1.09,1.09,0,0,1.09
108-118,0,0,0,2.3,0,1.53,4.6,0,0.77,3.83,1.53,0,0,0,0.77,0.77,0.77,0,0,3.06,0.77,0,0,10.72,0,1.53,1.53,0,2.3,0,0,0,0,1.53,0,0,0,1.53
120,0,0,0,0,0,0,5.88,0,0,5.88,1.96,0,0,0,0,0,0,0,1.96,3.92,0,0,1.96,11.76,0,0,1.96,0,17.64,0,0,0,0,1.96,0,0,0,1.96
