stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,2.63,0,0,0,5.26,0,0,2.63,0,0,0,0,28.92,0,18.4,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,47.2,6.29,15.73,0,0,0
 14-21,0,0,0,1,1,1,0,0,0,0,0,1,1,6,0,0,1,1,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,9.85,0,0,0,2.46,0.82
 36-46,0,0,0,0,0,2.42,0.81,1.61,0,0,0,1.61,0,19.34,0,0,0,8.06,0
 48-58,0,0,0,0,0,3.44,0,1.72,0,0,0.57,4.02,0,4.59,0,0,0,2.3,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.98,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0,0.98,0,3.93,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,4.25,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,0,1.09,1.09,1.09,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
