stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,210.85,2635.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,1042.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,126.18,2.63,0,0,23.66,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,3.15,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.02,12.59,0,0,97.56,0,0,0,0,9.44,0,6.29,0,0,0,0,0
 14-21,0,0,7,47,14,13,0,0,5,3,1,4,0,1,0,0,0,0,20,0,0,26,166,7,0,5,5,0,11,0,45,1,34,65,0,0,7,0,0
 24-34,0,0.82,1.64,24.63,0.82,13.95,1.64,0,8.21,0.82,0,4.93,0,1.64,0.82,0.82,0,0.82,69.77,0.82,0,32.83,193.72,4.1,0,5.75,0,0,38.58,0,0,4.1,9.03,72.24,0,0,23.8,0,1.64
 36-46,0,0,0,10.47,1.61,21.75,1.61,4.03,17.72,0.81,0,2.42,0,1.61,0,3.22,1.61,0,95.87,0,0,27.39,128.91,3.22,0,7.25,0,0,33.03,0.81,0.81,2.42,0,67.68,0,0,17.72,0,4.83
 48-58,0,0,0,4.02,0,12.05,1.72,4.59,20.66,0,0,2.87,1.15,0.57,0,0.57,0,0.57,100.99,0.57,0.57,18.36,40.74,1.15,0,2.87,0,0,19.51,0,0,0.57,0,24.1,0,0,9.75,0,3.44
 60-70,0,0,0,7.85,0,27.48,0,9.82,24.54,1.96,0,2.94,1.96,0.98,0.98,3.93,0,0,145.27,0.98,3.93,22.58,25.52,1.96,0.98,4.91,0,0,38.28,0,0,0,0,5.89,0,1.96,13.74,0.98,3.93
 72-82,0,0,0.98,14.72,0,57.92,0.98,10.8,35.34,1.96,0,0,0.98,1.96,0,1.96,0,0,190.44,2.94,3.93,17.67,39.27,0.98,0.98,14.72,0,0,43.19,0,0,1.96,0,2.94,0.98,1.96,20.61,1.96,5.89
 84-94,0,0,0,19.12,1.06,53.1,4.25,6.37,18.05,1.06,0,1.06,9.56,6.37,1.06,3.19,1.06,0,130.63,0,2.12,8.5,19.12,2.12,2.12,20.18,0,0,120.01,0,0,2.12,0,4.25,1.06,3.19,20.18,3.19,4.25
 96-106,0,0,0,21.86,0,40.44,2.19,5.46,27.32,3.28,0,4.37,4.37,3.28,1.09,9.84,0,0,100.54,2.19,3.28,10.93,28.41,4.37,3.28,30.6,0,1.09,102.73,0,0,2.19,0,4.37,0,0,19.67,2.19,6.56
108-118,0,0,0,27.57,0.77,34.47,5.36,3.83,16.85,2.3,0,0.77,6.89,7.66,5.36,7.66,0,0,96.51,0.77,3.83,6.89,35.23,2.3,0.77,15.32,0,3.06,75.83,0,0,4.6,0,1.53,0,4.6,14.55,2.3,6.89
120,0,0,0,25.48,0,33.32,7.84,3.92,17.64,0,0,0,5.88,0,1.96,5.88,0,0,80.35,1.96,0,3.92,31.36,3.92,1.96,23.52,0,0,88.19,0,0,0,0,0,3.92,0,9.8,3.92,3.92
