stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,94.63,5.26,0,0,31.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,97.56,9.44,0,0,44.06,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,35,0,0,0,1,1,3,1,6,11,0,0,0,0,0
 24-34,0,0,0,1.64,1.64,0.82,0,4.1,0,0,0,0.82,0,0,1.64,0,0.82,0,0,0,1.64,9.85,0,0,2.46,78.8,0,3.28,1.64,0,4.1,0,0.82,1.64,21.34,0,0,10.67,0,4.1
 36-46,0,0,0,0,1.61,0,0,13.7,0,0.81,0,6.45,0,0,0,0,0,0,1.61,0.81,2.42,8.06,0,0,3.22,69.29,0.81,0.81,0,0,0,0,0.81,0,24.17,0,0,4.03,0,5.64
 48-58,0.57,0,0,0,0.57,0,0,20.66,0,0,2.3,4.59,0,0,0.57,0.57,0.57,0,0.57,0,1.72,12.62,0,0,2.87,43.04,0,2.3,0,0,1.72,0,0.57,0,14.92,0,0,0,0,4.02
 60-70,0,0,0,0,0.98,0,0,27.48,0,0.98,1.96,7.85,0.98,0,0,0,0.98,0.98,0,0,1.96,10.8,0,0,0.98,44.17,0,3.93,0,0,3.93,0,0.98,0,12.76,0,0.98,1.96,0,4.91
 72-82,0,0,0,0,0,0,0,32.39,0.98,0,2.94,5.89,0.98,0,0,0.98,0,0.98,0,0.98,0,24.54,0,0.98,1.96,49.08,0,4.91,2.94,0,0.98,0,0,0,2.94,1.96,0.98,7.85,0,8.83
 84-94,0,0,1.06,0,3.19,0,0,26.55,0,2.12,1.06,6.37,3.19,1.06,1.06,3.19,0,1.06,0,1.06,2.12,21.24,1.06,1.06,4.25,30.8,0,0,2.12,0,7.43,0,3.19,0,5.31,2.12,1.06,4.25,2.12,7.43
 96-106,0,0,1.09,0,3.28,1.09,0,31.69,0,0,1.09,19.67,4.37,0,0,2.19,2.19,4.37,0,0,2.19,16.39,1.09,0,2.19,34.97,0,3.28,2.19,0,3.28,0,1.09,0,0,3.28,0,6.56,0,5.46
108-118,0,0,0,0,3.06,0,0.77,26.81,0,0.77,0,7.66,6.13,0,0,0,0.77,3.06,0.77,0.77,0,16.85,0,0,2.3,28.34,0,3.06,0.77,0,3.06,0,0,0,0,1.53,0,4.6,0,6.13
120,0,0,0,0,1.96,0,0,19.6,0,0,0,7.84,5.88,0,1.96,7.84,0,1.96,0,3.92,0,13.72,0,0,0,37.24,0,3.92,0,0,1.96,0,3.92,0,0,0,0,1.96,0,3.92
