stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,49.95,5.26,0,0,34.17,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,94.41,3.15,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,38,9,0,7,0,0,0,3,4,1,0,2,1,0,0,8,0,10,0,0,8,75,8,3,1,4,0,4,10,3,0,13,37,0,0,3,0,1
 24-34,0,0,1.64,12.31,9.85,1.64,0,18.88,0,2.46,0,3.28,11.49,0,0.82,2.46,4.1,0.82,0,7.39,2.46,10.67,0.82,0,7.39,164.17,3.28,9.03,2.46,0,0,38.58,0,9.85,0,3.28,65.67,0,0,22.98,0,0.82
 36-46,0,0,3.22,2.42,3.22,0,0,21.75,0.81,0.81,1.61,6.45,8.86,0.81,0.81,1.61,4.03,0,0,2.42,0,21.75,0.81,0,4.03,210.28,2.42,16.11,2.42,0,0.81,39.48,0,4.03,2.42,0,48.34,0,0,15.31,0,4.03
 48-58,0,0,0,0,1.72,1.72,0,39.59,0.57,0,0.57,17.79,3.44,2.3,1.15,3.44,1.72,0.57,0.57,1.72,1.15,29.26,1.15,1.72,4.59,154.35,1.72,8.03,1.15,0,0.57,39.59,0,2.3,0,0,40.74,0,0,10.33,0,5.74
 60-70,0,0,0.98,0,1.96,0,0,86.37,0,2.94,0.98,15.7,9.82,0,1.96,2.94,1.96,2.94,0,3.93,2.94,38.28,2.94,1.96,0.98,159.99,0.98,6.87,3.93,0,0,49.08,0,1.96,1.96,0,32.39,0,3.93,10.8,0,6.87
 72-82,0,0,5.89,0,7.85,5.89,0.98,99.15,0.98,0.98,2.94,26.5,30.43,0,0,4.91,10.8,0.98,1.96,3.93,0,81.48,0.98,2.94,2.94,147.25,0,14.72,2.94,0,0.98,49.08,0,5.89,0.98,0,15.71,1.96,3.93,34.36,0.98,3.93
 84-94,0,0,3.19,0,9.56,7.43,1.06,97.71,0,3.19,3.19,15.93,29.74,1.06,1.06,14.87,10.62,2.12,1.06,0,1.06,53.1,0,2.12,2.12,75.4,1.06,13.81,4.25,0,1.06,123.2,0,12.74,1.06,0,6.37,0,4.25,22.3,2.12,5.31
 96-106,0,0,2.19,1.09,17.49,20.76,8.74,113.66,1.09,3.28,6.56,24.04,38.25,0,1.09,21.86,22.95,5.46,2.19,5.46,0,75.41,1.09,4.37,1.09,71.04,1.09,15.3,9.84,0,3.28,91.8,0,7.65,1.09,0,5.46,1.09,8.74,25.14,5.46,5.46
108-118,0.77,0,5.36,0,12.26,3.83,16.85,81.19,4.6,3.83,3.83,14.55,34.47,0,0,14.55,15.32,5.36,0.77,4.6,0.77,63.57,1.53,4.6,4.6,89.62,0.77,10.72,3.83,0,0.77,58.98,0,6.13,4.6,0,3.06,1.53,9.96,11.49,3.83,5.36
120,0,0,0,0,21.56,11.76,9.8,68.59,0,5.88,1.96,17.64,29.4,0,3.92,23.52,5.88,0,0,0,0,52.91,0,0,5.88,86.23,1.96,7.84,3.92,0,1.96,37.24,0,7.84,0,0,0,3.92,3.92,19.6,5.88,0
