stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,6,6,0,5,0,0,0,3,1,0,0,1,0,0,0,0,0,2,0,0,4,107,0,0,1,5,0,2,8,0,0,5,36,0,0,1,0,0
 24-34,0,0.82,5.75,0.82,0,19.7,0,1.64,0,1.64,0,0,0,0,0,0,0,0,0,14.78,0,0,5.75,181.41,0,4.1,0,0,0,4.93,0,0,0,0.82,55,0,0,6.57,0,0.82
 36-46,0.81,0,3.22,0,0,43.51,0,0,0,4.03,0,0,0.81,0.81,0,0,0.81,0,0.81,10.47,0,0,2.42,298.9,0,2.42,0,0,0,9.67,0,0,0,0,62.04,0,0,3.22,0,0
 48-58,0,0,2.87,0,0,105.01,0,0,1.15,11.48,0.57,0,0,1.72,0,1.15,0,0,1.15,13.2,0,0.57,2.3,444.12,0,1.72,0,0,0.57,4.02,0,0,0,0,103.28,0,0,4.02,0,1.72
 60-70,0.98,0,8.83,0,0,363.16,0,6.87,0.98,34.35,1.96,0,1.96,3.93,0,0,0,0,0,25.52,0,0,3.93,808.77,0,3.93,0.98,0,0,10.8,0,0,0,0,106,0,0,1.96,0,0
 72-82,0.98,0.98,17.67,1.96,0,615.5,0,4.91,5.89,97.18,2.94,0.98,1.96,7.85,0,1.96,1.96,0.98,0,75.59,1.96,1.96,5.89,888.4,0.98,8.83,5.89,0,0.98,22.58,0,0,0,0,121.73,0,0.98,13.74,0,0.98
 84-94,0,0,35.05,3.19,0,431.19,1.06,6.37,4.25,89.21,3.19,1.06,1.06,11.68,3.19,7.43,1.06,1.06,0,42.48,1.06,1.06,2.12,555.45,1.06,2.12,4.25,0,0,54.16,0,0,1.06,0,72.22,1.06,1.06,9.56,6.37,0
 96-106,0,0,33.88,15.3,0,415.28,1.09,13.11,2.19,107.1,3.28,0,0,22.95,5.46,2.19,3.28,2.19,0,57.92,0,1.09,3.28,596.69,2.19,8.74,8.74,0,2.19,102.73,0,1.09,0,0,27.32,1.09,0,16.39,5.46,6.56
108-118,2.3,0,55.92,2.3,2.3,380.68,2.3,13.79,3.06,111.83,3.83,0,2.3,17.62,5.36,4.6,1.53,1.53,0.77,58.98,1.53,4.6,4.6,765.2,1.53,3.83,8.43,0,0,79.66,0,1.53,0,0,29.87,2.3,0.77,13.79,5.36,6.13
120,0,1.96,86.23,1.96,1.96,415.47,0,11.76,0,146.98,5.88,0,0,25.48,5.88,5.88,3.92,1.96,0,68.59,1.96,3.92,13.72,1044.57,1.96,11.76,9.8,0,3.92,127.39,0,0,0,0,41.16,0,1.96,15.68,13.72,3.92
