stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,57.83,0,0,15.77,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0,0,0
 14-21,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,14
 24-34,0,0,1.64,0,0,0,0,0.82,0,0,0,0,0,0,2.46,0,0,131.34,0,1.64,0,0,0.82,64.03
 36-46,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,2.42,0,0.81,315.82,0,0.81,0,0,0,76.54
 48-58,0,0,0,0,0,0,0,13.77,1.72,0,0.57,0,0,0.57,2.3,0,0,361.5,0.57,0,0,0.57,0,70
 60-70,0,0,1.96,0,1.96,0,0,37.3,3.93,0,0,0,0,0,0.98,0,0,404.39,0,0,0,1.96,0,48.09
 72-82,0,0,0,0,0.98,0.98,0,42.21,4.91,0,0,0,0,0,2.94,0,0.98,426.04,0,0,0,0.98,0,33.38
 84-94,0,0,1.06,0,2.12,0,0,32.92,5.31,0,1.06,1.06,0,0,7.43,0,0,217.72,0,0,0,0,0,14.87
 96-106,0,0,0,0,0,1.09,1.09,21.86,1.09,1.09,0,0,0,0,1.09,1.09,0,195.62,0,2.19,0,0,0,10.93
108-118,0,0,0.77,0,0,1.53,0,23.74,3.83,0.77,0,0,1.53,0,1.53,0,0,226.73,0,0,0,0,0,3.83
120,0,0,0,0,3.92,0,0,17.64,3.92,0,1.96,0,0,0,3.92,0,0,223.42,0,3.92,0,0,0,0
