stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,13,10,2,0,0,0,4,1,0,8,0,1,0,0,0,2,0,0,3,20,0,0,2,0,0,0,0,1,19,11,1,32,0,0,4,0,1
 24-34,0,0,0.82,0,4.1,27.91,3.28,1.64,0.82,1.64,18.06,0.82,0,5.75,0,0,0,0,0,9.85,0,0.82,8.21,47.61,0,4.1,1.64,0,0,0,0,0,10.67,20.52,6.57,32.01,0,0,19.7,0,0
 36-46,0,0,0.81,0,2.42,21.75,3.22,16.11,0,0,20.14,0,0,6.45,0,0,0.81,0,0,13.7,0,0.81,4.03,53.98,2.42,0.81,1.61,0,0,0,0,0.81,6.45,13.7,1.61,37.87,0,0,9.67,0,0
 48-58,0,0,0,0,3.44,67.71,5.16,26.97,0.57,1.15,26.4,0,0,2.87,0,0,1.72,0,0,24.67,0,0,2.87,45.33,1.72,1.15,1.72,0,0,0,0,0,2.3,7.46,0,24.1,0,1.15,7.46,0,0.57
 60-70,0,0,0,0,3.93,41.22,5.89,18.65,0.98,0,23.56,0.98,0.98,7.85,0,0,1.96,0,0,66.74,0,6.87,1.96,43.19,3.93,1.96,3.93,0,0,0,0,0,0,4.91,0,22.58,0,2.94,12.76,0,0
 72-82,0,0,3.93,0,4.91,138.41,16.69,8.83,0,0.98,87.37,5.89,0,12.76,0,0.98,0.98,1.96,0,188.48,0.98,11.78,2.94,51.05,0,1.96,5.89,0,0.98,1.96,0,0,1.96,3.93,0,29.45,2.94,4.91,27.49,3.93,0
 84-94,0,0,6.37,0,12.74,126.38,27.61,32.92,1.06,0,61.6,5.31,0,7.43,1.06,1.06,1.06,6.37,0,126.38,0,7.43,6.37,45.67,3.19,2.12,10.62,0,1.06,0,1.06,0,5.31,6.37,0,16.99,3.19,3.19,23.36,3.19,1.06
 96-106,0,0,3.28,0,15.3,148.63,14.21,25.14,0,3.28,63.39,14.21,0,15.3,1.09,1.09,0,5.46,1.09,158.46,1.09,12.02,5.46,39.34,5.46,6.56,22.95,0,1.09,6.56,0,0,5.46,12.02,0,25.14,20.76,14.21,45.9,3.28,1.09
108-118,0,0,3.83,0,16.85,144,14.55,19.92,4.6,0.77,49.02,12.26,0,6.89,2.3,2.3,0,5.36,0,157.02,1.53,9.96,5.36,49.02,11.49,5.36,13.02,0,1.53,0.77,0,0,2.3,13.02,0,16.85,32.94,26.81,45.19,3.83,0
120,0,0,1.96,0,17.64,129.35,19.6,17.64,1.96,0,35.28,9.8,0,1.96,0,0,5.88,1.96,1.96,92.11,1.96,3.92,1.96,37.24,11.76,3.92,7.84,0,0,0,0,0,0,0,0,21.56,17.64,7.84,15.68,1.96,0
