stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,28.92,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,226.07,10.51,0,0,84.12,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,173.08,9.44,0,0,62.94,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,4,89,1,1,0,2,0,0,1,7,1,4,18,0,0,0,0,0
 24-34,0,0,0,0,4.93,0,25.45,0.82,0,0,3.28,0.82,0,0.82,0,0,0,0,0,0,22.98,0.82,0,4.1,219.99,0.82,7.39,0,0,0,0,0,0,0,0.82,30.37,0,0,0.82,0,2.46
 36-46,0,0,0,0,1.61,0,54.79,0,0.81,0,7.25,0,0,0,0,0,0,0.81,0,0,16.92,0,0,6.45,198.19,0,1.61,0,0,0,0.81,0,0,0,0,31.42,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,0,100.42,0,0,1.15,13.77,0.57,0,0,0.57,0,0.57,0,0,0,20.08,0,0.57,2.3,207.72,0,2.87,0.57,0,0,0.57,0,0,0,0,35.58,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,96.19,0,0,0,21.59,0,0,0,0,0,0,0,0,0,19.63,0,0,3.93,214.95,0,0,0,0,0.98,0.98,0,0,0,0,26.5,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,69.7,0,0,0.98,34.36,0.98,0,1.96,0,0.98,0,0,0,0.98,46.14,0,3.93,0.98,225.78,0.98,4.91,0.98,0,0,1.96,0,0,0,0,9.82,0.98,0,2.94,1.96,0.98
 84-94,0,0,1.06,0,4.25,1.06,54.16,0,0,0,12.74,0,0,0,1.06,0,0,1.06,1.06,2.12,33.99,1.06,3.19,5.31,125.32,0,2.12,1.06,0,1.06,1.06,0,0,0,0,10.62,0,0,2.12,1.06,0
 96-106,0,0,1.09,0,2.19,1.09,49.18,0,0,2.19,13.11,2.19,0,1.09,3.28,1.09,0,0,1.09,0,21.86,0,0,3.28,93.98,0,0,0,0,0,4.37,0,0,0,0,3.28,0,1.09,4.37,1.09,0
108-118,0,0,0,0,5.36,0.77,28.34,0,0.77,1.53,17.62,0,0,0,0,0.77,1.53,0.77,0.77,0.77,31.4,0.77,1.53,5.36,113.36,0,0.77,0.77,0,0,0.77,0,0,0.77,0,5.36,0,0,2.3,1.53,0
120,0,0,0,0,3.92,0,17.64,0,1.96,1.96,19.6,0,0,0,1.96,0,5.88,0,3.92,0,21.56,0,0,5.88,101.91,0,1.96,0,0,0,1.96,0,0,0,0,3.92,0,0,5.88,0,0
