stage,epidermis,erythrocytes,eye,glial,immune,iridophores,melanocytes,muscle,neural,otic,spinal.cord,taste,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,2,0,0,12,0,0,1,2,0,1,0,0,0
 24-34,0.82,1.64,0,0,30.37,0,0,0,3.28,0.82,0,0,1.64,0
 36-46,0,0,0.81,0,51.56,0,0,0,5.64,0,0.81,0,1.61,0
 48-58,0,0,0,0,38.44,0,0,0,0.57,0,0.57,0,0.57,0
 60-70,0,0,0.98,0,54.97,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,4.91,0,99.15,0,0,0,1.96,1.96,0.98,0,1.96,0
 84-94,0,0,1.06,0,146.56,1.06,0,0,1.06,1.06,0,0,2.12,0
 96-106,2.19,2.19,1.09,0,194.53,0,0,0,3.28,1.09,0,1.09,1.09,1.09
108-118,2.3,0,0.77,0,153.96,2.3,0.77,0,1.53,1.53,0,0,3.83,0
120,1.96,0,0,1.96,152.86,0,0,0,3.92,0,0,0,1.96,0
