stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,12.31,2.46,0,0,6.57,0
 36-46,0,0,1.61,0,0,0,0.81,0,80.57,2.42,0,0,11.28,0
 48-58,0,0,5.74,0,0.57,0,0,0.57,71.15,0,0,0.57,9.75,0
 60-70,0,0,22.58,0,0,0,2.94,0,109.93,1.96,0,0,12.76,0
 72-82,0,0.98,15.71,0,0.98,0,0.98,0,63.81,0,0,0.98,5.89,0
 84-94,0,1.06,9.56,0,0,0,1.06,0,31.86,1.06,0,0,4.25,0
 96-106,0,0,5.46,0,0,0,1.09,0,20.76,1.09,0,0,0,0
108-118,0,0,5.36,0.77,0,0,0,0,26.04,0,0.77,0.77,0,0.77
120,1.96,1.96,1.96,0,1.96,1.96,0,0,66.63,0,0,0,1.96,0
