stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,1041.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,508.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,12.26,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,15.77,0,34.17,0,0,0,55.2,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,509.97,5.26,0,0,197.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,28.32,0,9.44,0,66.09,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,657.72,31.47,0,0,333.58,0,0,9.44,3.15,34.62,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,2,49,15,0,21,0,0,30,0,1,1,0,2,0,0,0,1,28,0,0,17,263,4,5,13,15,0,0,0,27,19,1,32,171,0,0,4,0,0
 24-34,0,0,0.82,1.64,20.52,4.1,0,51.71,1.64,0,21.34,0,0,2.46,0,0,0,1.64,2.46,0,56.64,0.82,0,27.91,452.29,0,20.52,9.85,0,0,1.64,0,0,5.75,0,4.93,128.05,0,0,11.49,0,1.64
 36-46,0,0,0,0.81,3.22,0,0,79.76,1.61,2.42,20.95,0.81,0,0.81,0,0,0,3.22,0.81,1.61,39.48,0,1.61,9.67,424.59,1.61,18.53,2.42,0,0,2.42,0,0,3.22,0,0,108.77,0,0,3.22,0,0.81
 48-58,0,0,0,0,3.44,0,0,130.25,1.15,2.87,28.69,0.57,0.57,2.3,0,0,0.57,0,0,0.57,52.22,0,0.57,5.74,303.54,0,13.2,2.87,0,0,2.3,0,0,1.72,0,0,75.74,0,0,3.44,0,2.3
 60-70,0,0,0,0,3.93,0,0,170.78,0,0.98,33.37,1.96,0,0.98,0.98,0.98,0,0.98,0,0,64.78,0.98,1.96,8.83,297.4,0,7.85,3.93,0,0.98,1.96,0,0,1.96,0.98,0,45.15,0,0.98,2.94,1.96,0.98
 72-82,0,0,3.93,0,10.8,0,0,114.85,0,2.94,23.56,2.94,0,1.96,2.94,1.96,0,2.94,0,0,87.37,0,4.91,9.82,163.94,0,11.78,5.89,0,0,0.98,0,0,0.98,0,0,18.65,0,0.98,6.87,2.94,1.96
 84-94,0,0,1.06,0,7.43,0,0,101.96,1.06,1.06,26.55,5.31,0,2.12,8.5,1.06,0,0,0,0,46.73,0,3.19,8.5,94.52,2.12,10.62,8.5,0,0,7.43,1.06,0,2.12,0,0,9.56,2.12,1.06,6.37,1.06,0
 96-106,0,0,1.09,0,15.3,1.09,0,69.94,3.28,1.09,27.32,2.19,0,1.09,9.84,0,1.09,1.09,0,0,48.09,0,3.28,6.56,84.15,0,15.3,14.21,0,1.09,6.56,0,0,0,0,0,7.65,3.28,0,2.19,3.28,2.19
108-118,0,0,1.53,0,13.79,0,0.77,39.83,2.3,3.83,18.38,2.3,0,0,4.6,1.53,0.77,1.53,0.77,0.77,33.7,0.77,0.77,6.13,104.17,0,11.49,8.43,0,1.53,9.19,0,0,0.77,0,0,3.83,1.53,1.53,2.3,0.77,0.77
120,0,0,0,0,13.72,0,0,47.03,0,0,13.72,1.96,0,1.96,3.92,0,0,5.88,0,0,31.36,0,1.96,7.84,68.59,1.96,5.88,3.92,0,0,5.88,0,0,3.92,0,0,3.92,1.96,0,1.96,3.92,0
