stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,24,4,0,1,0,0,0,0,2,0,4,0,3,0,0,0,2,2,0,0,1,17,1,1,0,0,0,1,1,1,4,8,0,0,1,0,0
 24-34,0,0,5.75,7.39,0,0,0.82,0,1.64,6.57,0.82,0,0,14.78,0,1.64,0,0,0,0,6.57,0,0,0.82,18.88,0,5.75,0.82,0,0,4.93,0,0,5.75,4.93,0,0,22.98,0,0
 36-46,0,0,0.81,0,0,0,1.61,0,0,19.34,4.03,0,0,4.03,0,0,0,0,0,0,19.34,0,0,2.42,16.92,0,8.06,0.81,0,0,3.22,0.81,0,1.61,2.42,0,0,9.67,0,0
 48-58,0.57,0,0,1.72,0,0,1.72,0,0,38.44,1.15,0,0.57,8.61,1.15,0,0.57,2.3,0,0,52.22,0,0.57,4.02,22.95,0,2.87,19.51,0,0,2.3,0,0,0.57,1.15,0,0,14.92,0,0
 60-70,0,0,0,1.96,0,0,3.93,0,1.96,46.13,13.74,0,0,2.94,0.98,2.94,0,0.98,0,0,295.44,1.96,0.98,7.85,53,0,1.96,18.65,0,0,0.98,0,0,0,3.93,0,1.96,8.83,0,0.98
 72-82,0,0,0,4.91,0,0,19.63,0.98,0,75.59,71.66,9.82,0,7.85,0,0.98,0.98,0,1.96,0,589.98,1.96,1.96,18.65,81.48,0,1.96,46.14,0,0.98,0,0,0,0,2.94,0,1.96,15.71,2.94,0.98
 84-94,0,0,0,4.25,1.06,0,25.49,0,1.06,54.16,29.74,3.19,0,4.25,3.19,5.31,0,2.12,0,0,382.33,2.12,1.06,11.68,63.72,0,6.37,60.54,0,0,3.19,0,0,0,2.12,0,4.25,15.93,4.25,1.06
 96-106,0,0,0,10.93,1.09,0,30.6,1.09,4.37,50.27,66.66,13.11,0,12.02,2.19,1.09,1.09,10.93,1.09,0,370.48,2.19,4.37,7.65,63.39,2.19,10.93,83.06,0,0,2.19,1.09,0,0,2.19,0,6.56,19.67,1.09,0
108-118,0,0,0,3.06,1.53,0.77,13.02,0,0,40.6,47.49,6.89,0,4.6,2.3,9.19,0,5.36,0,0,334.73,2.3,1.53,7.66,47.49,0.77,6.13,84.26,0,2.3,0.77,0,0,0,1.53,0,3.06,23.74,1.53,2.3
120,1.96,0,0,23.52,1.96,0,25.48,0,3.92,54.87,39.2,5.88,0,1.96,9.8,3.92,0,7.84,1.96,0,282.21,0,0,9.8,37.24,0,1.96,64.67,0,0,7.84,0,0,1.96,0,1.96,1.96,19.6,0,0
