stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,2,2,0,4,0,0,0,1,0,0,0,0,5,2,27,0,0,0,0,1,3,7,0,0
 24-34,4.1,0,0,6.57,0,0.82,1.64,0,0,0,1.64,0,4.93,2.46,53.36,0,0,1.64,2.46,0,1.64,10.67,1.64,0
 36-46,0.81,0,0,4.03,1.61,1.61,6.45,0,2.42,0,0,0,9.67,1.61,103.13,0,0.81,0,0,0,0,30.62,0.81,0
 48-58,0.57,0,0,10.9,1.15,0,4.02,0,0,0,0,0,7.46,2.3,35.58,0,0.57,0,0,0,0,6.89,0.57,0
 60-70,1.96,0,0,13.74,0,0,8.83,0,0,0,0,0,8.83,0,29.45,0,0,0.98,0,0,0,7.85,0,0
 72-82,0,0,0,15.71,0,0,7.85,0,3.93,0,0,0,15.71,2.94,46.14,1.96,0,0.98,0,0,0,3.93,0.98,0.98
 84-94,5.31,0,0,8.5,0,0,5.31,0,0,0,0,0,11.68,0,20.18,0,0,2.12,2.12,1.06,0,1.06,1.06,0
 96-106,0,0,0,4.37,0,0,8.74,0,0,1.09,0,0,4.37,0,19.67,0,0,1.09,2.19,0,0,1.09,2.19,0
108-118,2.3,0,0.77,1.53,0.77,0,8.43,0,0,0,0,0.77,6.13,0.77,24.51,0,0,1.53,1.53,0,0,0,0.77,0
120,3.92,0,0,7.84,1.96,0,3.92,0,0,0,0,0,5.88,0,21.56,0,1.96,0,1.96,0,0,0,0,0
