stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,2464.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,563.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,12.26,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,10.51,0,0,21.03,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,81.49,2.63,0,0,31.54,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,18.88,0,6.29,9.44,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,204.55,18.88,0,0,75.53,0,6.29,3.15,3.15,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,7,46,15,17,0,2,0,6,4,1,0,0,1,0,1,0,0,32,0,0,17,198,18,1,2,5,0,2,0,30,5,0,29,87,0,0,6,0,1
 24-34,0,0,0.82,19.7,4.1,25.45,0,4.1,1.64,8.21,0.82,0,0.82,2.46,0,0,1.64,3.28,0.82,41.86,0,0,27.91,231.48,6.57,1.64,4.93,0,0,11.49,0,0,1.64,0,4.1,76.34,0,0,17.24,0,0
 36-46,0,0,0,4.03,0.81,23.36,0,1.61,3.22,9.67,0,1.61,0.81,0,0,0,3.22,0,0,53.17,0,0,11.28,125.68,8.06,0.81,4.03,0,0,10.47,0.81,0,0.81,0.81,0.81,41.89,0,0.81,8.06,0,1.61
 48-58,0,0,0,5.16,0.57,31.56,0,1.72,3.44,17.21,0.57,0,1.72,0,0,0.57,3.44,0.57,1.15,67.14,0.57,1.72,10.9,60.25,1.72,1.15,7.46,0,0,5.74,0,0,0.57,0.57,0,32.13,0,0.57,8.61,0,0
 60-70,0,0,0,8.83,1.96,18.65,0,3.93,4.91,40.24,1.96,0,1.96,0,0.98,0.98,6.87,0,0,114.84,2.94,1.96,8.83,42.21,1.96,0,5.89,0,0,8.83,0,0,0.98,0.98,0,12.76,0.98,1.96,3.93,0.98,0.98
 72-82,0,0,0,5.89,4.91,25.52,0.98,2.94,3.93,53.01,4.91,1.96,8.83,2.94,0.98,0,2.94,0,1.96,156.08,0,1.96,14.72,50.06,0.98,0,16.69,0,0.98,5.89,0,0,0,0,0,17.67,1.96,3.93,21.6,2.94,0
 84-94,0,0,0,16.99,2.12,21.24,1.06,6.37,4.25,22.3,2.12,0,1.06,2.12,3.19,2.12,7.43,0,0,88.15,1.06,2.12,9.56,33.99,3.19,1.06,29.74,0,1.06,56.29,0,0,1.06,1.06,0,5.31,1.06,2.12,11.68,1.06,0
 96-106,0,0,0,10.93,4.37,31.69,1.09,7.65,2.19,34.97,7.65,0,2.19,1.09,0,0,14.21,1.09,0,79.78,2.19,5.46,6.56,30.6,2.19,1.09,34.97,0,2.19,30.6,0,0,0,0,0,6.56,0,2.19,15.3,1.09,1.09
108-118,0,0,0,18.38,3.83,24.51,1.53,2.3,3.83,32.17,3.83,0,0,1.53,0.77,5.36,12.26,1.53,0,66.64,1.53,2.3,9.19,40.6,5.36,3.06,27.57,0,1.53,18.38,0,0,1.53,0.77,0,1.53,1.53,1.53,14.55,2.3,1.53
120,0,0,0,17.64,1.96,15.68,1.96,5.88,7.84,29.4,1.96,0,1.96,3.92,1.96,1.96,5.88,0,0,37.24,3.92,0,1.96,33.32,5.88,0,13.72,0,1.96,31.36,0,0,0,0,0,1.96,0,3.92,7.84,3.92,0
