stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,12,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,22,10,0,0,1,0,0,0,1,0,7,0,0,14,0
 24-34,0,0,0,13.13,2.46,0,12.31,0.82,0,2.46,1.64,0.82,0,14.78,10.67,0,0,0,19.7,0,0,3.28,146.11,9.85,0,0,0,0,2.46,0,0,0,22.16,0,0,42.68,0
 36-46,0,0,0.81,11.28,4.83,0,25.78,0,1.61,23.36,4.83,0,2.42,14.5,7.25,0,0.81,1.61,66.87,0,0.81,4.83,165.97,8.86,0,0.81,0,0,0,0.81,0,0,41.89,0,0.81,32.23,0
 48-58,0,0,0.57,9.18,8.61,0,37.3,1.15,1.72,63.69,1.15,2.3,2.3,17.79,3.44,0,2.87,1.15,102.14,0,2.87,10.33,92.96,2.3,0.57,0.57,0,0,0.57,0,0,0,30.99,0,1.15,17.21,0
 60-70,0,0,0,14.72,7.85,0,31.41,0,3.93,89.32,6.87,0,5.89,39.26,1.96,0,2.94,0.98,153.12,0.98,5.89,9.82,51.04,0,0.98,1.96,0,0,1.96,0,0,0.98,16.69,1.96,3.93,29.45,0.98
 72-82,0,0,0,26.5,86.39,0.98,27.49,2.94,4.91,120.74,9.82,1.96,5.89,88.35,11.78,0,10.8,1.96,292.54,0.98,17.67,12.76,63.81,0,2.94,3.93,0,7.85,0.98,0,0,0,7.85,7.85,9.82,67.73,4.91
 84-94,0,0,0,61.6,92.4,1.06,48.85,2.12,4.25,66.91,19.12,3.19,3.19,127.44,25.49,1.06,9.56,1.06,176.3,0,14.87,10.62,60.54,1.06,3.19,3.19,0,1.06,2.12,0,0,0,5.31,12.74,8.5,47.79,11.68
 96-106,0,0,0,80.87,77.59,1.09,29.51,2.19,2.19,54.64,18.58,0,9.84,130.05,18.58,1.09,16.39,0,191.25,1.09,7.65,6.56,56.83,3.28,7.65,2.19,0,6.56,4.37,0,0,1.09,4.37,12.02,7.65,61.2,5.46
108-118,0.77,0,0,78.89,114.13,6.13,33.7,5.36,2.3,60.51,24.51,0,3.83,119.49,31.4,0,9.96,3.06,173.11,1.53,12.26,5.36,54.38,1.53,4.6,3.06,0,4.6,2.3,0,0,0,3.83,24.51,5.36,47.49,3.06
120,0,0,0,56.83,125.43,3.92,27.44,1.96,0,45.08,7.84,0,3.92,121.51,21.56,0,5.88,0,121.51,1.96,9.8,9.8,37.24,1.96,1.96,1.96,0,9.8,1.96,0,0,0,1.96,7.84,3.92,41.16,5.88
