stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,4,10,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,134,1,1,0,4,0,0,2,6,2,1,2,121,0,0,0,0,0
 24-34,4.93,5.75,0.82,0,12.31,0,0,0,10.67,0,0,0.82,0,0,0,0,0,0.82,13.95,0,0,6.57,957.94,1.64,45.15,4.93,0,0,4.93,0,0,3.28,0,2.46,398.12,0,0,2.46,0,0
 36-46,0.81,3.22,0,0,39.48,0,0,1.61,15.31,0,0,1.61,0.81,0,0,0,0,0,12.09,0,0,5.64,1976.31,0,50.76,2.42,0,0,1.61,0,0,0.81,0,0,547.05,0,0,3.22,0,0.81
 48-58,0.57,6.31,0,0,182.47,0.57,0.57,0.57,49.92,0.57,0,1.15,2.87,0,0.57,0.57,0.57,1.72,39.02,0.57,1.15,4.59,2428.92,1.15,30.41,2.87,0,0,6.31,0,0,0,0,0,660.45,0,0,2.87,0,3.44
 60-70,2.94,11.78,0.98,0,386.72,0,0.98,0,53,0,0,0,1.96,0,0.98,0,0.98,0,51.04,0.98,1.96,2.94,3140.87,0,29.45,2.94,0,0,4.91,0,0,2.94,0,0,690.99,0,0,1.96,0,2.94
 72-82,6.87,22.58,3.93,0,580.16,1.96,0.98,0.98,81.48,0.98,0.98,0.98,7.85,0.98,0,0.98,0.98,0,53.01,1.96,1.96,2.94,2942.04,0.98,39.27,3.93,0,0.98,2.94,0,0,0.98,0,0,444.69,1.96,0.98,1.96,1.96,3.93
 84-94,6.37,26.55,4.25,0,438.62,1.06,4.25,4.25,57.35,3.19,0,1.06,7.43,2.12,5.31,0,1.06,0,45.67,0,2.12,4.25,1499.6,0,26.55,12.74,0,0,5.31,0,0,1.06,1.06,0,249.58,3.19,3.19,0,2.12,1.06
 96-106,9.84,33.88,8.74,1.09,373.75,0,3.28,3.28,65.57,2.19,0,1.09,5.46,2.19,2.19,0,2.19,0,34.97,1.09,1.09,3.28,1387.92,0,50.27,13.11,0,1.09,9.84,0,0,0,1.09,0,120.21,3.28,3.28,0,1.09,3.28
108-118,3.83,16.85,4.6,0.77,290.3,2.3,0.77,1.53,63.57,1.53,0,0,7.66,1.53,0.77,1.53,0.77,0,28.34,0,0.77,6.13,1447.67,0,39.06,6.13,0,0.77,3.83,0,0,0,0,0,89.62,1.53,1.53,3.83,0.77,0.77
120,7.84,29.4,5.88,0,348.84,1.96,0,0,84.27,3.92,0,1.96,21.56,0,0,0,1.96,0,25.48,0,1.96,5.88,2008.78,0,31.36,9.8,0,0,13.72,0,0,0,0,0,123.47,0,0,3.92,0,0
