stage,axial,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,3,12,0,2,0,0,0,7,0,0,0,0,0,8,0,9,272,2,3,0,0,0,0,0,17,66,0,0,0,0,0
 24-34,0,0.82,5.75,0,5.75,0,0,0,5.75,0,0.82,0,0,0,18.88,0,12.31,660.79,9.03,2.46,0,0,0,1.64,0.82,0,121.49,0,0,2.46,0,0
 36-46,0,0,0,0.81,3.22,0,0,0.81,38.67,0,0.81,0,0,0,13.7,0.81,3.22,431.03,6.45,1.61,0,0,1.61,0.81,0,0,99.9,0,0,2.42,0,0
 48-58,0.57,0,1.15,0,5.16,0.57,0.57,0,48.2,0,1.15,0,0,0,26.97,0.57,2.87,183.04,5.74,3.44,0,0,0,0.57,0,0,54.51,0,1.15,0.57,0.57,0
 60-70,0,0,0.98,0,8.83,0,0,0.98,33.37,0,0,0,0,0,36.32,0,2.94,147.23,4.91,3.93,0,0.98,0,0,0,0,20.61,0,0.98,1.96,0,0
 72-82,0,0,1.96,0,20.61,0,0,2.94,45.16,0,0.98,0,0.98,1.96,39.27,0,0.98,118.78,3.93,8.83,0,0.98,0,0,0,0,16.69,0.98,3.93,0.98,0.98,0.98
 84-94,0,0,1.06,0,15.93,0,0,1.06,26.55,0,1.06,0,1.06,0,29.74,2.12,2.12,74.34,1.06,3.19,0,0,0,0,1.06,0,10.62,0,3.19,3.19,1.06,0
 96-106,0,0,1.09,1.09,9.84,0,0,2.19,29.51,1.09,0,1.09,2.19,0,25.14,2.19,4.37,59.01,1.09,8.74,0,3.28,0,0,1.09,0,7.65,0,1.09,0,2.19,0
108-118,0,0,2.3,0,8.43,0,0,0.77,31.4,0,0.77,0,0,0.77,25.28,0,0.77,85.02,3.06,11.49,0,1.53,1.53,0,1.53,0,4.6,0,0,3.06,0.77,0
120,0,0,1.96,0,3.92,0,0,3.92,41.16,0,0,0,1.96,0,21.56,0,0,86.23,0,5.88,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0
