stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,26.29,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,107,6.29,0,0,47.2,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,23,0,6,0,0,3,0,0,0,0,0,0,29,0,0,15,74,0,0,0,0,0,1,2,0,0,4,26,0,51,0,0
 24-34,0,0,4.93,8.21,0,7.39,0,0,4.1,0,17.24,0,0,0.82,0,70.59,0.82,1.64,41.86,81.26,0,0,0,0,0,0.82,0,0,0,0,23.8,0,215.06,0,0
 36-46,0,0,0,2.42,0,4.03,0.81,0.81,0,0,14.5,0,0,0,0.81,65.26,0.81,0.81,28.2,39.48,0,0,0,0,0,0,0,0,0,0,5.64,0,145.83,0,0
 48-58,0,0,0.57,0.57,0,10.33,0.57,1.15,2.3,0,13.77,0,0,0,0.57,77.46,1.15,2.3,22.38,45.9,0.57,0.57,0,0,0.57,0.57,0,0,0,0,4.59,0.57,143.45,0,0
 60-70,0,0,0.98,0.98,0,16.69,0.98,0,1.96,0,7.85,0.98,0,0,0,94.23,0.98,3.93,12.76,37.3,0,0,0,0,2.94,0,0,0,0,0,5.89,0.98,120.73,1.96,0.98
 72-82,0,0,4.91,0.98,0.98,6.87,0,0.98,7.85,0,13.74,0,0,0,0,112.89,1.96,8.83,14.72,24.54,0,0,0,0,0,0,0,0,0,0,1.96,3.93,217.93,5.89,0
 84-94,0,0,1.06,0,1.06,10.62,3.19,1.06,4.25,0,6.37,0,0,0,0,80.71,0,13.81,8.5,15.93,0,0,1.06,0,1.06,0,0,0,1.06,0,4.25,5.31,190.1,6.37,1.06
 96-106,0,0,5.46,1.09,2.19,5.46,3.28,4.37,7.65,0,16.39,2.19,1.09,1.09,0,80.87,1.09,4.37,8.74,17.49,0,1.09,0,0,5.46,0,0,2.19,0,0,0,5.46,246.98,7.65,1.09
108-118,0,0,4.6,0,9.96,4.6,3.83,0.77,3.83,0,3.06,0,0.77,0,0,65.87,0.77,4.6,4.6,7.66,0,0,0,0,1.53,0.77,0,2.3,0,0,0,1.53,179.24,3.83,1.53
120,0,0,5.88,0,3.92,7.84,5.88,1.96,5.88,1.96,1.96,0,0,0,0,48.99,1.96,5.88,7.84,15.68,0,0,0,0,5.88,1.96,0,0,0,0,0,0,172.46,0,0
