stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,1,0,12,0,0,0,0,0,1,0,4,2,0,0,0,18,0,0,0,0,85,0,1,0,0,0,0,0,2,1,43,0,0,0,0,6
 24-34,0,0.82,6.57,0,0,43.51,0,0,0,4.1,0,0,0.82,9.85,4.1,0.82,0,0,70.59,9.03,0,0,1.64,475.28,0,9.85,1.64,0,0,0.82,2.46,0,0,149.4,0,0,0.82,0,19.7
 36-46,0,1.61,2.42,0.81,0,64.45,0,0,0,24.98,0,0,0,11.28,2.42,10.47,0.81,0,60.43,29.81,0.81,0.81,2.42,1363.19,0,23.36,1.61,0,0,0.81,0.81,0,0,293.26,0,0,1.61,0,32.23
 48-58,0.57,0.57,1.15,0.57,0,157.8,0.57,0.57,0,50.49,0,0,0,2.87,1.72,12.62,1.72,0.57,41.31,86.64,1.72,0.57,4.59,1235.98,0,6.89,1.15,0,0,1.72,1.15,0,0,249.03,0,0.57,0.57,0,14.35
 60-70,0,1.96,6.87,0.98,0,562.41,0.98,0.98,0.98,107.97,0.98,0,3.93,15.7,0,27.48,0,0.98,22.58,195.32,2.94,4.91,3.93,2089.66,0.98,10.8,5.89,0,4.91,1.96,0,0,0,313.11,0,3.93,0.98,0.98,24.54
 72-82,0,3.93,13.74,6.87,0,669.49,0.98,0,6.87,205.17,6.87,0,0.98,18.65,0.98,26.5,1.96,1.96,37.3,260.14,0,8.83,2.94,1595.2,0,22.58,5.89,0,1.96,1.96,0.98,0,0,175.72,0,4.91,4.91,3.93,14.72
 84-94,0,5.31,27.61,10.62,0,506.59,0,0,7.43,162.49,8.5,0,2.12,28.68,3.19,45.67,7.43,1.06,49.92,191.17,0,8.5,1.06,815.64,0,11.68,10.62,0,0,4.25,0,0,0,96.65,0,5.31,1.06,4.25,19.12
 96-106,0,3.28,16.39,5.46,0,373.75,1.09,1.09,1.09,199.99,7.65,0,1.09,48.09,2.19,31.69,4.37,2.19,29.51,136.61,0,10.93,2.19,665.54,1.09,16.39,22.95,0,4.37,6.56,0,0,0,37.16,0,4.37,5.46,2.19,29.51
108-118,0,2.3,15.32,7.66,3.06,310.98,1.53,0.77,6.13,164.68,4.6,0,3.06,29.87,1.53,62.04,3.83,2.3,57.45,121.79,0.77,3.06,5.36,864.77,0.77,13.02,17.62,0,1.53,0.77,0.77,0,0,31.4,2.3,4.6,5.36,2.3,34.47
120,0,0,25.48,7.84,0,219.5,0,5.88,1.96,109.75,9.8,0,0,33.32,0,33.32,5.88,1.96,19.6,101.91,0,5.88,5.88,789.79,3.92,9.8,5.88,0,1.96,5.88,1.96,0,0,15.68,0,1.96,5.88,1.96,19.6
