stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,9,81,22,0,54,0,0,0,13,6,1,1,0,3,1,1,1,2,39,0,0,37,493,8,4,9,16,0,2,89,11,2,120,139,0,0,3,0,0
 24-34,0.82,4.93,22.98,2.46,0,63.21,0,5.75,0,14.78,1.64,0,2.46,0,4.1,0,6.57,2.46,2.46,69.77,0,0.82,28.73,692.8,5.75,9.85,7.39,0,0,13.13,0.82,4.93,3.28,15.6,146.93,0,0,17.24,0,1.64
 36-46,0,0.81,6.45,1.61,0,120.04,2.42,1.61,4.83,31.42,0,0.81,0.81,2.42,0.81,0.81,1.61,0,0.81,84.6,0,1.61,14.5,586.53,4.03,6.45,4.03,0.81,0.81,13.7,0,2.42,0,0,129.71,0,0,8.86,0,0.81
 48-58,0,0,7.46,0,0,175.01,0.57,2.87,3.44,63.12,0.57,1.15,1.72,1.72,0.57,1.15,1.72,0,1.15,109.02,0.57,4.59,16.64,432.08,3.44,5.74,3.44,0,0.57,7.46,0,0.57,1.15,0,116.48,0,0,5.16,0,3.44
 60-70,0,0,5.89,1.96,0,252.25,0,4.91,6.87,72.63,0.98,0,7.85,3.93,0,0.98,1.96,0.98,0.98,143.3,1.96,4.91,15.7,379.85,0,4.91,7.85,0,0.98,7.85,0,2.94,0,0,65.76,0,0,3.93,0,1.96
 72-82,2.94,0,22.58,9.82,0,243.45,2.94,0.98,4.91,97.18,8.83,0,0,7.85,3.93,0.98,9.82,1.96,0.98,213.02,0,8.83,16.69,391.68,0,7.85,10.8,0,1.96,15.71,0,0,0,0,40.25,0.98,5.89,14.72,5.89,3.93
 84-94,0,0,23.36,8.5,0,144.44,0,2.12,4.25,55.23,9.56,0,1.06,6.37,3.19,3.19,7.43,1.06,3.19,118.95,2.12,1.06,4.25,151.87,5.31,4.25,11.68,0,2.12,49.92,0,7.43,1.06,0,29.74,1.06,2.12,9.56,3.19,3.19
 96-106,3.28,0,17.49,15.3,1.09,98.36,3.28,5.46,2.19,63.39,13.11,0,5.46,8.74,0,2.19,3.28,1.09,0,128.96,1.09,6.56,16.39,150.81,4.37,5.46,13.11,0,2.19,46.99,0,1.09,1.09,0,13.11,1.09,3.28,15.3,3.28,5.46
108-118,0,0,25.28,7.66,1.53,91.15,0.77,7.66,5.36,66.64,7.66,0,2.3,5.36,3.06,6.13,2.3,3.06,1.53,99.58,0,2.3,13.79,166.98,2.3,7.66,17.62,0,0,29.11,0,1.53,1.53,0,7.66,2.3,2.3,9.19,2.3,2.3
120,1.96,1.96,23.52,11.76,3.92,90.15,5.88,9.8,0,54.87,7.84,0,3.92,7.84,0,3.92,11.76,5.88,0,94.07,1.96,3.92,19.6,188.14,9.8,5.88,5.88,0,0,31.36,0,3.92,1.96,0,7.84,0,1.96,13.72,1.96,0
