stage,epidermis,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0.57,0.57,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57,1.72,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0.98,0,0,0,0,0.98,0,0,10.8,0.98,0,0,0,0,0,0.98,5.89,0,0
 84-94,1.06,0,0,0,1.06,1.06,1.06,0,6.37,2.12,0,1.06,0,1.06,0,0,18.05,0,0
 96-106,0,1.09,0,1.09,3.28,6.56,1.09,1.09,7.65,0,1.09,2.19,0,0,0,2.19,5.46,0,0
108-118,0,0.77,0.77,1.53,7.66,4.6,0.77,0,13.79,0,0,1.53,0,0,0,0,12.26,0.77,0
120,0,0,0,0,0,1.96,0,0,17.64,0,0,0,0,0,0,0,0,1.96,1.96
