stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,4,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,31,0,0,1,0,0,3,3,0,1,1,14,0,0,0,0,0
 24-34,0,0.82,0.82,15.6,2.46,0,13.13,0,0.82,0.82,2.46,1.64,0,1.64,0,0,0.82,0.82,0,0,9.03,0,0,0.82,127.23,1.64,5.75,3.28,0,0,10.67,0,2.46,0,0,28.73,0,0,2.46,0,0.82
 36-46,0,0,0,8.06,1.61,0,10.47,0.81,0.81,0,17.72,0.81,0,0,0.81,0,0,0.81,0,0,12.09,0,0,1.61,174.83,0,7.25,4.03,0,0,9.67,0,1.61,0,0,40.28,0,0.81,1.61,0,0
 48-58,0,0,0,5.16,0,0,25.25,0.57,1.15,0.57,36.72,0,2.3,0.57,0.57,0,0,0.57,0,0,19.51,0,0,1.72,197.96,0.57,6.31,5.74,0,0,6.89,0,1.15,0,0,57.38,0,0,1.15,0,0
 60-70,0,0,0,4.91,1.96,0,73.61,0,0.98,0,60.85,0.98,0,0,0.98,0,0.98,0.98,0,0.98,17.67,0.98,0,0,358.26,0,10.8,5.89,0,0,12.76,0,1.96,0,0,59.87,0,0.98,1.96,0,0.98
 72-82,0,0,0.98,18.65,23.56,0,135.47,0,0.98,1.96,89.33,2.94,0.98,1.96,5.89,0,0,2.94,0.98,0,58.9,0.98,0.98,1.96,444.69,0,18.65,7.85,0,0,18.65,0,0,0,0,50.06,0,3.93,7.85,2.94,0
 84-94,0,1.06,0,19.12,22.3,0,95.58,1.06,1.06,0,47.79,2.12,3.19,3.19,2.12,1.06,1.06,3.19,0,0,29.74,1.06,4.25,2.12,245.33,0,2.12,5.31,0,1.06,44.61,0,2.12,0,0,22.3,5.31,2.12,12.74,5.31,0
 96-106,0,4.37,0,28.41,21.86,1.09,67.76,0,5.46,1.09,63.39,8.74,0,5.46,13.11,0,0,7.65,1.09,0,39.34,2.19,1.09,3.28,230.59,0,25.14,13.11,0,0,63.39,0,2.19,0,0,6.56,2.19,0,5.46,4.37,0
108-118,0,1.53,0,27.57,16.09,0,70.47,0,4.6,5.36,43.66,4.6,0,3.06,11.49,2.3,0.77,2.3,2.3,2.3,39.83,0,1.53,2.3,302.56,0.77,16.09,15.32,0,0,51.32,0,0,0,0,12.26,5.36,1.53,14.55,2.3,0
120,0,1.96,0,31.36,25.48,0,64.67,1.96,3.92,7.84,33.32,1.96,0,1.96,15.68,3.92,0,0,0,0,25.48,1.96,0,0,301.81,0,7.84,17.64,0,1.96,66.63,0,1.96,0,0,17.64,1.96,0,1.96,5.88,0
