stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.07,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,57.83,5.26,0,0,23.66,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,18.88,0,31.47,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,64,0,0,0,0,0,0,0,2,2,0,0,4,0,1,0,2,3,0,2,12,1,0,12,0,0,358,0,4,15,0,4,3,0,0,0,0,0
 24-34,0,0,0,3.28,153.5,0.82,0,8.21,0,4.93,0.82,0,1.64,0.82,0,0.82,12.31,7.39,0,0.82,3.28,21.34,0.82,5.75,86.19,0,2.46,6.57,0,0,960.4,0,0,7.39,0.82,0.82,19.7,0,0,4.1,0,0
 36-46,0,0,0,0.81,116.02,1.61,0,6.45,0,11.28,0,0.81,0.81,4.83,1.61,0.81,7.25,2.42,0,0,3.22,15.31,0,0.81,88.62,0,1.61,2.42,0,0,737.19,0.81,0,4.03,0.81,0,8.06,0,0,3.22,0,0.81
 48-58,0,0,0,0,67.14,0.57,0,17.21,0,17.21,0.57,2.87,0,8.03,1.15,0.57,0,3.44,1.15,0,8.03,12.05,0,0.57,48.2,0,4.59,3.44,0,0.57,413.71,0,0,0.57,0,0,5.74,0,0,1.72,0,0.57
 60-70,0,0,0,0,115.82,0,0,11.78,0,33.37,0,5.89,4.91,3.93,0,0,3.93,2.94,1.96,0,3.93,15.7,0,1.96,45.15,0.98,1.96,3.93,0,0,417.15,0,0,0.98,0,0,5.89,0,0,1.96,0,0
 72-82,0,0,0.98,0,165.9,2.94,0,19.63,0,30.43,0,4.91,23.56,4.91,0,0.98,15.71,10.8,2.94,0,6.87,37.3,0,0,61.84,0.98,3.93,14.72,0,0.98,558.57,0,0,2.94,0,0,3.93,0.98,0,6.87,0,0
 84-94,0,0,2.12,0,282.5,1.06,1.06,13.81,0,55.23,0,3.19,33.99,2.12,0,1.06,22.3,9.56,7.43,1.06,13.81,25.49,0,0,31.86,0,3.19,14.87,0,0,1062.04,0,0,4.25,0,0,0,3.19,0,4.25,0,1.06
 96-106,0,0,4.37,0,302.72,1.09,0,18.58,0,49.18,0,10.93,40.44,0,0,6.56,28.41,19.67,4.37,0,16.39,31.69,0,0,57.92,1.09,9.84,19.67,0,1.09,1158.42,1.09,0,0,0,0,3.28,3.28,0,8.74,2.19,0
108-118,0,0,0,0,365.36,1.53,0.77,12.26,0.77,81.96,0.77,6.13,56.68,0,0,3.06,36,6.89,11.49,0,5.36,29.87,0.77,0.77,40.6,0,4.6,11.49,0,0,963.58,0,0,1.53,0,0,0,9.19,2.3,6.89,0.77,0
120,0,0,0,0,431.15,0,1.96,15.68,3.92,97.99,0,9.8,66.63,0,0,0,25.48,15.68,13.72,0,13.72,19.6,0,0,58.79,0,7.84,25.48,0,0,881.9,0,0,7.84,0,0,1.96,5.88,0,9.8,0,0
