stage,epidermis,eye,fin.mesenchyme,glial,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,pronephros,spinal.cord,vasculature
 14-21,1,0,0,0,0,0,0,2,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,4.93,0.82,0,3.28,2.46,0
 36-46,0,0.81,0,0.81,0,0,0.81,3.22,1.61,0,1.61,2.42,0
 48-58,0.57,0,0,0,0,0,0,2.3,0.57,0,0,0,0
 60-70,0,0,0,1.96,0,0,0,4.91,1.96,0,0,2.94,0
 72-82,0,4.91,0.98,5.89,0,0,0,3.93,8.83,0,0,4.91,0
 84-94,0,2.12,0,3.19,0,0,0,1.06,4.25,1.06,0,3.19,0
 96-106,0,1.09,0,3.28,0,0,0,1.09,6.56,2.19,0,1.09,1.09
108-118,0,2.3,0.77,3.06,0.77,1.53,1.53,1.53,0.77,1.53,0,0.77,0
120,0,1.96,0,0,0,0,0,0,1.96,1.96,0,0,1.96
