stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,15.77,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,4.93,0,0,0,0,0,0,0,4.1,0,2.46,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,2.42,0,8.06,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,5.74,0,0,0,0,1.15,0,0,2.87,0,4.02,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,18.65,0,0,0,0,0,0,0,2.94,0,1.96,0,0,0,0,0,0.98,0
 72-82,0,0,1.96,0,51.05,0,0.98,0,0,0.98,2.94,0,3.93,0,3.93,0,0,0,0,0,0,0
 84-94,0,0,0,0,59.47,0,0,0,0,1.06,1.06,0,0,0,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,3.28,2.19,64.48,0,0,1.09,0,1.09,1.09,1.09,2.19,0,3.28,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,58.98,0,2.3,0,0.77,3.83,4.6,0,3.06,0,4.6,0,0,0,0,0,0,0
120,0,0,0,0,86.23,1.96,1.96,0,0,0,0,0,3.92,0,9.8,0,0,0,0,0,0,0
