stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,9.44,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,1,9,2,2,1,0,2,1,0,0,0,2,0,0,0,0,3,0,0,2,14,0,0,1,3,0,32,4,1,5,8,0,3,0,0
 24-34,0,0,4.93,0,1.64,1.64,0,0.82,0.82,0,0.82,0,2.46,0,1.64,0,0.82,3.28,0.82,0,0.82,24.63,1.64,0.82,0,0,0,50.07,0,0.82,0.82,9.03,0,2.46,0,0.82
 36-46,0,0,8.06,0,3.22,0,0,5.64,0,0,0.81,0,0,0,0.81,0,0,4.03,0.81,0,2.42,22.56,0,0,0,0,0,33.84,0,0.81,0,4.83,0,1.61,0,1.61
 48-58,0,0,2.87,0,4.02,0,0.57,4.02,0,0,1.15,0,0.57,0,0,0,0.57,5.74,0.57,0,1.15,20.08,0,0.57,0,0,0,19.51,0,0.57,0,2.87,0,1.15,0,0
 60-70,0,0,5.89,0,6.87,0,0,8.83,0,0,0,0,0,0,0.98,0,0,8.83,1.96,0,0,16.69,0,0,0.98,0,0,19.63,0,0.98,0,0.98,0,1.96,0,2.94
 72-82,0.98,0,6.87,0.98,5.89,1.96,0.98,15.71,0,0.98,0,0,4.91,0.98,0,0,0,11.78,1.96,0.98,3.93,21.6,0,0.98,0,0,0.98,40.25,0,1.96,0,3.93,0,2.94,0.98,2.94
 84-94,0,0,10.62,0,10.62,1.06,0,5.31,4.25,0,0,6.37,6.37,3.19,1.06,1.06,0,11.68,1.06,1.06,0,13.81,0,1.06,1.06,0,0,120.01,0,6.37,0,2.12,0,1.06,0,4.25
 96-106,0,0,26.23,0,14.21,5.46,1.09,5.46,1.09,0,0,4.37,12.02,3.28,2.19,3.28,0,18.58,3.28,2.19,0,10.93,0,3.28,1.09,0,0,89.61,0,1.09,0,2.19,2.19,2.19,1.09,4.37
108-118,1.53,0,37.53,0.77,12.26,9.96,0,8.43,5.36,0,0.77,2.3,8.43,3.83,2.3,1.53,0.77,10.72,3.83,0,1.53,15.32,0,1.53,0,0,0.77,78.89,0,3.83,0,0,5.36,2.3,0.77,2.3
120,3.92,0,17.64,1.96,0,9.8,0,5.88,3.92,0,1.96,1.96,13.72,0,0,3.92,1.96,7.84,0,0,1.96,11.76,0,3.92,0,0,0,41.16,0,1.96,0,0,1.96,5.88,1.96,0
