stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,pgc,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,1,0,1,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,1.15,0.57,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0,0,0,0.98,0.98,0,0,0,0,0,0.98
 72-82,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98
 84-94,0,1.06,0,0,0,1.06,0,0,0,1.06,0,0,2.12,0,0,1.06,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,2.19,1.09,6.56,0,0,0,1.09,1.09,2.19
108-118,0,0,0,0.77,0,0,4.6,0,0,0,0,2.3,0.77,0,0,0.77,2.3,0,3.06,0,0,0,0,0,2.3
120,0,1.96,0,0,1.96,0,3.92,0,0,0,0,0,0,0,1.96,1.96,5.88,0,19.6,0,0,0,0,0,0
