stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,liver,mesenchyme,muscle,neural,olfactory,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0.82,10.67,0,0.82,1.64,1.64,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0.81,0,44.31,0,0,4.03,0.81,0
 48-58,0,0.57,0,1.72,0,1.15,0.57,0,0.57,0,2.3,0.57,57.95,0.57,0,8.03,0.57,0
 60-70,0,0,0,1.96,0,0.98,0,0,0,0,3.93,0,34.35,0.98,0,9.82,1.96,0
 72-82,0,0,0.98,4.91,0,1.96,0,0,0,0,1.96,0,26.5,0,0,5.89,0,0
 84-94,0,0,2.12,6.37,0,1.06,0,0,4.25,0,3.19,0,20.18,0,0,3.19,1.06,0
 96-106,0,0,0,3.28,0,0,1.09,1.09,3.28,1.09,4.37,1.09,4.37,0,0,0,0,0
108-118,0,0,0,3.06,0.77,0.77,0.77,0,4.6,0,0.77,0,7.66,0,0,0,3.06,0.77
120,0,0,0,3.92,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0
