stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,57.83,5.26,0,0,18.4,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,154.2,15.73,0,0,37.76,0,3.15,0,9.44,3.15,0,0,0,0,0
 14-21,0,0,0,1,14,0,0,1,0,1,0,1,2,1,1,0,2,0,0,1,0,8,0,0,4,63,0,0,1,2,0,2,4,3,11,34,0,2,0,0
 24-34,0,0,0,0.82,0.82,0,0,8.21,0,2.46,0,2.46,0,0,0.82,1.64,2.46,0.82,0.82,1.64,3.28,7.39,0.82,0,5.75,96.04,0.82,0,0,0,0,11.49,0,1.64,3.28,31.19,0,2.46,0,2.46
 36-46,0,0,0,0,1.61,0.81,0,19.34,0,0.81,1.61,4.83,0,0,0.81,3.22,2.42,0.81,0,0.81,3.22,11.28,0.81,0.81,4.83,136.96,0,0.81,1.61,0,0,8.06,0.81,1.61,0,45.12,0,2.42,0,4.83
 48-58,0,0,0.57,0,0.57,1.15,0,31.56,0.57,0,1.15,17.21,0,0,0,2.87,0,1.15,1.15,0,1.15,10.9,0.57,0,2.3,71.15,0,1.15,0.57,0,0.57,6.31,0,0,0,30.41,0,4.02,0.57,2.3
 60-70,0,0,0.98,0,1.96,0,0,67.73,0,1.96,0.98,28.46,0.98,0.98,0.98,10.8,0,0.98,0,0.98,0,30.43,0.98,0,3.93,112.88,0,1.96,0,0,0,11.78,0,1.96,0,17.67,0.98,2.94,0,0
 72-82,0,0,1.96,0,2.94,1.96,0,51.05,0.98,0,1.96,26.5,0,0,0,17.67,2.94,0.98,0,0,0,26.5,1.96,0.98,3.93,46.14,0,0.98,0.98,0,0,15.71,0,0,0,8.83,1.96,6.87,0.98,0.98
 84-94,0,0,0,0,9.56,3.19,0,25.49,0,0,2.12,15.93,4.25,0,0,11.68,0,5.31,0,0,0,15.93,4.25,3.19,0,44.61,1.06,0,1.06,0,0,36.11,0,1.06,0,3.19,3.19,2.12,2.12,0
 96-106,0,0,0,0,7.65,3.28,0,18.58,0,1.09,0,20.76,1.09,0,1.09,14.21,4.37,1.09,0,0,1.09,17.49,1.09,0,2.19,27.32,1.09,0,3.28,0,0,34.97,0,0,0,2.19,0,5.46,0,0
108-118,0,0,0,0,6.13,2.3,0.77,16.09,0,0.77,0.77,10.72,9.19,0,1.53,12.26,1.53,6.89,0,0.77,0,6.89,3.83,0,2.3,29.11,0,0,0,0,0,26.04,0,0,0,1.53,0.77,3.06,0,0
120,0,0,0,0,9.8,1.96,0,13.72,0,0,1.96,3.92,1.96,0,0,19.6,0,1.96,0,0,0,5.88,1.96,0,1.96,21.56,0,3.92,1.96,0,0,17.64,0,0,0,0,1.96,1.96,0,0
