stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,21.34,1.64,0,0,0,9.03,0,0,0
 36-46,0,0,0.81,4.83,0,0,0,0,0,0,91.85,2.42,0,0,0,11.28,0,0,0
 48-58,0,0,0.57,13.2,0,0,1.15,0,0,0,127.96,1.15,0,0,0,13.2,0,0.57,0
 60-70,0,0,0,35.33,0,0.98,0,0,1.96,0,181.58,2.94,0,0,0.98,30.43,0,0,0
 72-82,0,0,1.96,35.34,0,0,8.83,0,2.94,0,182.59,2.94,0,0,0,13.74,0.98,0,0
 84-94,0,1.06,0,20.18,0,0,8.5,0,0,1.06,88.15,3.19,0,0,0,7.43,1.06,0,1.06
 96-106,0,0,4.37,19.67,1.09,0,6.56,0,3.28,0,71.04,4.37,0,0,0,3.28,1.09,0,0
108-118,0,0,0,15.32,0,0,9.19,0.77,1.53,0.77,67.4,2.3,0.77,0,0,1.53,0.77,0,0
120,0,0,0,9.8,0,0,11.76,0,1.96,0,66.63,1.96,1.96,0,0,1.96,0,0,0
