stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,22.03,0,0,81.82,0,0,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,16,2,5,0,1,0,5,0,0,1,0,0,0,0,0,27,0,0,28,81,158,0,0,0,0,0,62,0,6,81,46,0,3,0,0
 24-34,0,0,0.82,0,7.39,0.82,5.75,0,0,2.46,1.64,0,0,1.64,0,0,0.82,0,0,43.51,0.82,0,23.8,51.71,25.45,2.46,0,0,0,0.82,0,0,0,7.39,25.45,0,1.64,0,0
 36-46,0,0,0,0,5.64,0,6.45,0,2.42,5.64,1.61,0,0,0,0.81,0.81,0.81,0,0,48.34,0,0.81,15.31,53.17,17.72,0,0.81,0,0,0.81,0,0,0,0,25.78,0,0.81,0,0.81
 48-58,0,0,0,0,2.3,0,10.33,0.57,1.72,5.16,12.05,0,0,1.15,0.57,0,0,0.57,0,105.58,0,4.02,13.2,35.58,9.75,0,2.3,0,0,0.57,0,0.57,0,0,20.08,0,2.87,0,0
 60-70,0,0,0,0,1.96,0,21.59,0.98,2.94,4.91,18.65,0,0,1.96,0.98,0.98,0,0,0.98,225.75,0,2.94,15.7,51.04,7.85,0,0.98,0,0,0.98,0,0,0,0,19.63,1.96,0,0,0
 72-82,0,0,0,0,6.87,0,24.54,0,2.94,15.71,30.43,0,0,1.96,0.98,0,0,0,0,322.97,0,8.83,16.69,53.01,3.93,0.98,0.98,0,0.98,1.96,0,1.96,0,0,2.94,6.87,1.96,5.89,0.98
 84-94,0,0,1.06,0,12.74,0,14.87,0,3.19,4.25,12.74,1.06,0,0,6.37,2.12,0,0,0,265.51,0,4.25,7.43,32.92,6.37,0,0,0,2.12,1.06,0,0,0,0,1.06,3.19,2.12,2.12,0
 96-106,0,0,0,0,8.74,0,19.67,3.28,2.19,4.37,19.67,1.09,0,0,1.09,2.19,1.09,0,0,128.96,0,5.46,10.93,32.79,4.37,1.09,2.19,0,1.09,1.09,0,0,0,0,3.28,1.09,2.19,3.28,0
108-118,0,0,0,0,9.19,0.77,17.62,0,6.13,4.6,11.49,0.77,0,0.77,1.53,0.77,0,1.53,0.77,74.3,0,2.3,6.13,30.64,3.83,0.77,1.53,0,0.77,0.77,0,0,0,0,2.3,0.77,0.77,1.53,0.77
120,0,0,0,0,7.84,1.96,15.68,0,1.96,0,17.64,0,0,0,1.96,1.96,0,0,0,64.67,0,1.96,5.88,35.28,3.92,0,0,0,3.92,0,0,0,0,0,1.96,1.96,0,1.96,0
